date,time,room,caller,symbol,side,strike,expiry,dte,their_price,qty,outcome,reason,detail,our_fill,slip_abs,slip_pct,posted_at,seen_at,sent_at,filled_at,read_ms,decide_ms,fill_ms,total_ms,bid,ask,spread_pct,delta,iv,live,coid,ledger_key,in_ledger,source,raw,caller_strike,caller_expiry,our_limit,tier,confidence,how_recovered,source_line
2026-08-05,11:02,Demon Alerts,Demon Alerts,QQQ,CALLS,727,2026-08-07,,,,OTHER refusal,OTHER refusal,,,,,,,,,,,,,,,,,,,,,False,trades.log:A,"REFUSED  OPEN QQQ (Demon Alerts's call) 727C 8/7 x5 @ 0.90  ->  couldn't get a quote for QQQ260807C00727000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)",,,,A,high,the REFUSED line's own contract,"REFUSED  OPEN QQQ (Demon Alerts's call) 727C 8/7 x5 @ 0.90  ->  couldn't get a quote for QQQ260807C00727000 right now. Nothing was sent. (option_market_data.get_option_snapshot: HTTP Status: 403, Code: MARKET_DATA_NOT_SUBSCRIBED, Msg: Insufficient permission)"
2026-08-05,12:01,,,SPY,CALLS,600,2026-08-06,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 SPY 600C 2026-08-06 @ 175.91,,,175.91,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 SPY 600C 2026-08-06 @ 175.91
2026-08-05,12:35,,,SPY,PUTS,771,2026-08-06,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 SPY 771P 2026-08-06 @ 2.50,,,2.50,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 SPY 771P 2026-08-06 @ 2.50
2026-08-05,13:14,,Bullwinkle,AAPL,CALLS,315,2026-08-07,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 AAPL 315C 2026-08-07 @ 1.13,,,1.13,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 AAPL 315C 2026-08-07 @ 1.13
2026-08-05,14:10,ZT opt-4,TLM,MSFT,PUTS,480,2026-08-07,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 MSFT 480P 2026-08-07 @ 2.15,,,2.15,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 MSFT 480P 2026-08-07 @ 2.15
2026-08-05,14:35,,Bullwinkle,SPCX,PUTS,90,2026-08-07,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 SPCX 90P 2026-08-07 @ 0.30,,,0.30,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 SPCX 90P 2026-08-07 @ 0.30
2026-08-05,15:27,ZT opt-2,are alerts,HPE,CALLS,55,2026-08-21,,,5,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 5 HPE 55C 2026-08-21 @ 3.02,,,3.02,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 5 HPE 55C 2026-08-21 @ 3.02
2026-08-11,09:36,ZT scalps,Bullwinkle,GOOGL,CALLS,360,2026-08-14,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 GOOGL 360C 2026-08-14 @ 2.10,,,2.10,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 GOOGL 360C 2026-08-14 @ 2.10
2026-08-11,09:39,Honeydrip daytrades,Unraveller,MSFT,PUTS,500,2026-08-14,,,,BUYING POWER too small,BUYING POWER too small,MSFT,,,,,,,,,,,,,,,,,,,,False,trades.log,"ERROR    CLOSE MSFT (Unraveller's call) 500P 2026-08-14 x1  ->  HTTP Status: 417, Code: OAUTH_OPENAPI_DAY_BUYING_POWER_INSUFFICIENT, Msg: Buying power is insufficient. Please cancel open buy orders (if any) and try again., RequestID: 113fe6c0-b109-4a79-9fbf-a52d8724d6d3",,,,A,high,the REFUSED line in trades.log,"ERROR    CLOSE MSFT (Unraveller's call) 500P 2026-08-14 x1  ->  HTTP Status: 417, Code: OAUTH_OPENAPI_DAY_BUYING_POWER_INSUFFICIENT, Msg: Buying power is insufficient. Please cancel open buy orders (if any) and try again., RequestID: 113fe6c0-b109-4a79-9fbf-a52d8724d6d3"
2026-08-11,10:04,Honeydrip daytrades,Brett,IBM,CALLS,240,2026-08-14,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 IBM 240C 2026-08-14 @ 3.32,,,3.32,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 IBM 240C 2026-08-14 @ 3.32
2026-08-11,10:08,Honeydrip daytrades,Mike,NVDA,CALLS,220,2026-08-14,,3.10,1,BUYING POWER too small,BUYING POWER too small,"NVDA (needs $327, had $155)",,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN NVDA (Mike's call) 220C 8/14 x1 @ 3.10  ->  that one costs $327 and you've got $155 to spend. Skipped on purpose — no order was sent and you're not in it.,,,2.91,A,high,the REFUSED line in trades.log,REFUSED  OPEN NVDA (Mike's call) 220C 8/14 x1 @ 3.10  ->  that one costs $327 and you've got $155 to spend. Skipped on purpose — no order was sent and you're not in it.
2026-08-11,10:14,Midas,Midas (Admin),BAC,CALLS,64,2026-08-21,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 BAC 64C 2026-08-21 @ 0.88,,,0.88,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 BAC 64C 2026-08-21 @ 0.88
2026-08-11,10:42,Honeydrip daytrades,Unraveller,SPY,CALLS,775,2026-08-10,,5.91,,OTHER refusal,OTHER refusal,SPY,,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  ADD SPY (Unraveller's call) 775C 2026-08-10 x1 @ 5.91  ->  that expiry (2026-08-10) is already in the past. Nothing was sent.,,,,A,high,the REFUSED line in trades.log,REFUSED  ADD SPY (Unraveller's call) 775C 2026-08-10 x1 @ 5.91  ->  that expiry (2026-08-10) is already in the past. Nothing was sent.
2026-08-11,14:11,ZT swing-3,King Maker Bot,RIOT,CALLS,23,2026-09-11,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 RIOT 23C 2026-09-11 @ 0.99,,,0.99,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 RIOT 23C 2026-09-11 @ 0.99
2026-08-11,15:57,ZT opt-7,The Pawn (The Market Bishop),ZETA,CALLS,30,2026-08-28,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 ZETA 30C 2026-08-28 @ 1.21,,,1.21,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 ZETA 30C 2026-08-28 @ 1.21
2026-08-11,15:58,ZT opt-7,The Pawn (The Market Bishop),SKHY,CALLS,150,2026-08-28,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 SKHY 150C 2026-08-28 @ 6.23,,,6.23,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 SKHY 150C 2026-08-28 @ 6.23
2026-08-12,09:33,Honeydrip daytrades,Unraveller,TSLA,PUTS,332.5,2026-08-14,,5.05,,BUYING POWER too small,BUYING POWER too small,"TSLA (needs $542, had $130)",,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN TSLA (Unraveller's call) 332.5P 8/14 x1 @ 5.05  ->  that one costs $542 and you've got $130 to spend. Skipped on purpose — no order was sent and you're not in it.,,,,A,high,the REFUSED line in trades.log,REFUSED  OPEN TSLA (Unraveller's call) 332.5P 8/14 x1 @ 5.05  ->  that one costs $542 and you've got $130 to spend. Skipped on purpose — no order was sent and you're not in it.
2026-08-12,09:39,RWGates,TradeLikeGates,NBIS,CALLS,227.5,2026-08-14,,9.65,,BUYING POWER too small,BUYING POWER too small,"NBIS (needs $1072, had $980)",,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN NBIS (TradeLikeGates's call) 227.5C 8/14/26 x1 @ 9.65  ->  that one costs $1072 and you've got $980 to spend. Skipped on purpose — no order was sent and you're not in it.,,,,A,high,the REFUSED line in trades.log,REFUSED  OPEN NBIS (TradeLikeGates's call) 227.5C 8/14/26 x1 @ 9.65  ->  that one costs $1072 and you've got $980 to spend. Skipped on purpose — no order was sent and you're not in it.
2026-08-12,09:41,ZT scalps,Bullwinkle,META,CALLS,610,2026-08-14,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'META | $610 C 8.30 @everyone'  ->  BTO META $610C 8/30,,,3.22,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 META 610C 2026-08-14 @ 3.22
2026-08-12,09:46,ZT fut-6,Namrood-Trades,LYFT,CALLS,16.5,2026-08-14,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 LYFT 16.5C 2026-08-14 @ 0.74,,,0.74,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 LYFT 16.5C 2026-08-14 @ 0.74
2026-08-12,09:47,Honeydrip daytrades,Mike,NVDA,CALLS,220,2026-08-14,,4,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@Mike (Admin) in NVDA 8/14 220C @ 4.0 @everyone'  ->  BTO NVDA $220C 8/14 @ 4,,,4.14,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 NVDA 220C 2026-08-14 @ 4.14
2026-08-12,09:53,ZT scalps,TradeLikeGates,AMZN,PUTS,270,2026-08-14,,2.46,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@here $AMZN short took entry 2.46 .AMZN260814P270 '  ->  BTO AMZN $270P 08/14 @ 2.46,,,2.56,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 AMZN 270P 2026-08-14 @ 2.56
2026-08-12,09:58,ZT scalps,Bullwinkle,AMZN,CALLS,277.5,2026-08-14,,2.4,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'AMZN | $277.5 C AUG 21 2.40 @everyone'  ->  BTO AMZN $277.5C AUG 21 @ 2.4,,2026-08-21,0.69,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 AMZN 277.5C 2026-08-14 @ 0.69
2026-08-12,10:00,MR.TOPHAT,MR.TOPHAT (OPTIONS/FUTURES),SPY,PUTS,772,2026-08-12,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@everyone BTO SPY 772P 0dte @1.05-1.10 © 2021-2026'  ->  BTO SPY $772P 0DTE,,,1.20,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 SPY 772P 2026-08-12 @ 1.20
2026-08-12,10:05,ZT scalps,Bullwinkle,AMZN,CALLS,275,2026-08-14,,2.75,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'AMZN | 275 C 2.75 AUG 21 @everyone'  ->  BTO AMZN $275C AUG 21 @ 2.75,,2026-08-21,0.91,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 AMZN 275C 2026-08-14 @ 0.91
2026-08-12,10:06,Demon Alerts,Demon Alerts,QQQ,CALLS,727,2026-08-12,,0.9,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'BTO $QQQ 727c 08/12 @0.90 @everyone'  ->  BTO QQQ $727C 08/12 @ 0.9,,,0.90,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 QQQ 727C 2026-08-12 @ 0.90
2026-08-12,10:15,Honeydrip daytrades,Midas (Admin),NVDA,CALLS,222.5,2026-08-12,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:E-order,ORDER IN BUY 1 NVDA 222.5C 2026-08-12 @ 1.56,,,1.56,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 NVDA 222.5C 2026-08-12 @ 1.56
2026-08-12,10:23,,DesiTrade,TSM,CALLS,430,2026-09-18,,22.30,,BUYING POWER too small,BUYING POWER too small,"TSM (needs $2276, had $965)",,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN TSM (DesiTrade's call) 430C 9/18 x1 @ 22.30  ->  that one costs $2276 and you've got $965 to spend. Skipped on purpose — no order was sent and you're not in it.,,,,A,high,the REFUSED line in trades.log,REFUSED  OPEN TSM (DesiTrade's call) 430C 9/18 x1 @ 22.30  ->  that one costs $2276 and you've got $965 to spend. Skipped on purpose — no order was sent and you're not in it.
2026-08-12,10:30,Honeydrip daytrades,Brett,AAPL,PUTS,305,2026-08-14,,3.8,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@Brett (Admin) in AAPL 8/14 305P @ 3.8 @everyone'  ->  BTO AAPL $305P 8/14 @ 3.8,,,3.83,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 AAPL 305P 2026-08-14 @ 3.83
2026-08-12,10:43,,,SPXW,PUTS,7630,2026-08-12,,,,alert read,alert read,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'SPXW 8/12 $7630/7670 Put Credit Spread 5 .20-.25 @'  ->  BTO SPXW $7630P 8/12,,,,F-airead,high,AI READ of the room's own words,AI READ  'SPXW 8/12 $7630/7670 Put Credit Spread 5 .20-.25 @'  ->  BTO SPXW $7630P 8/12
2026-08-12,11:17,ZT fut-6,Namrood-Trades,XLU,CALLS,46,2026-09-18,,,,BUYING POWER too small,BUYING POWER too small,"XLU (needs $1500, had $932)",,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN MXLU (Namrood-Trades's call) 46C 9/18 x1  ->  that one costs $1500 and you've got $932 to spend. Skipped on purpose — no order was sent and you're not in it.,,,,A,high,the REFUSED line in trades.log,REFUSED  OPEN MXLU (Namrood-Trades's call) 46C 9/18 x1  ->  that one costs $1500 and you've got $932 to spend. Skipped on purpose — no order was sent and you're not in it.
2026-08-12,11:45,Honeydrip daytrades,,NVDA,PUTS,220,2026-08-13,,1.22,,alert read,alert read,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@everyone Lotto Trade — RISKY SCALPING - VERY QUIC'  ->  BTO NVDA $220P 1DTE @ 1.22,,,,F-airead,high,AI READ of the room's own words,AI READ  '@everyone Lotto Trade — RISKY SCALPING - VERY QUIC'  ->  BTO NVDA $220P 1DTE @ 1.22
2026-08-12,11:49,,,SPX,PUTS,7720,2026-08-12,,0.55,,alert read,alert read,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'SPX pcs 0dte STO 7720p BTO 7715p Filled at 0.55 SL'  ->  BTO SPX $7720P 0DTE @ 0.55,,,,F-airead,high,AI READ of the room's own words,AI READ  'SPX pcs 0dte STO 7720p BTO 7715p Filled at 0.55 SL'  ->  BTO SPX $7720P 0DTE @ 0.55
2026-08-12,12:28,,JpmInvestments,SPY,CALLS,773,2026-08-12,,,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@everyone Open SPY 08/12 773C @.51 Jpm Options | F'  ->  BTO SPY $773C 08/12,,,0.53,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 SPY 773C 2026-08-12 @ 0.53
2026-08-12,12:38,ZT scalps,Bullwinkle,SPCX,CALLS,155,2026-08-14,,2.84,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'SPCX | 155 C AUG 21 2.84 $142.55 BREAK @everyone'  ->  BTO SPCX $155C AUG 21 @ 2.84,,2026-08-21,0.84,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 SPCX 155C 2026-08-14 @ 0.84
2026-08-12,12:41,Honeydrip daytrades,Bullwinkle,NVDA,PUTS,217.5,2026-08-14,,2.42,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'NVDA | $217.5 P 2.42 AUG 21 222.90 BREAK @everyone'  ->  BTO NVDA $217.5P AUG 21 @ 2.42,,2026-08-21,0.71,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 NVDA 217.5P 2026-08-14 @ 0.71
2026-08-12,13:01,,,TSLA,CALLS,330,2026-08-12,,0.22,,NO buying connection,NO buying connection,TSLA,,,,,,,,,,,,,,,,,,,,False,trades.log,REFUSED  OPEN TSLA (MR.TOPHAT (OPTIONS/FUTURES)'s call) 330C 0DTE x1 @ 0.22  ->  no Webull paper connection,,,,A,high,the REFUSED line in trades.log,REFUSED  OPEN TSLA (MR.TOPHAT (OPTIONS/FUTURES)'s call) 330C 0DTE x1 @ 0.22  ->  no Webull paper connection
2026-08-12,13:08,Demon Alerts,TLM,QQQ,PUTS,720,2026-08-14,,1.87,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'Open @everyone Qqq Aug 14 720 put at 1.87 Buy to o'  ->  BTO QQQ $720P Aug 14 @ 1.87,,,1.93,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 QQQ 720P 2026-08-14 @ 1.93
2026-08-12,13:25,,,SPX,CALLS,7800,2026-08-13,,3.55,,alert read,alert read,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  '@everyone BTO SPX 7800C 1dte @3.55 fuck it lfg © 2'  ->  BTO SPX $7800C 1dte @ 3.55,,,,F-airead,high,AI READ of the room's own words,AI READ  '@everyone BTO SPX 7800C 1dte @3.55 fuck it lfg © 2'  ->  BTO SPX $7800C 1dte @ 3.55
2026-08-12,13:47,ZT scalps,Bullwinkle,META,CALLS,585,2026-08-14,,10.1,1,order-sent,order-sent,,,,,,,,,,,,,,,,,,,,,False,trades.log:F-airead,AI READ  'META | $585 C AUG 21 10.10 @everyone'  ->  BTO META $585C AUG 21 @ 10.1,,2026-08-21,4.50,E-order,high,"the bot's own ORDER IN line — resolved contract, real date",ORDER IN BUY 1 META 585C 2026-08-14 @ 4.50
