ts_iso,date,time,room,caller,symbol,side,strike,expiry_raw,expiry_resolved,occ,their_price,qty,outcome,tier,confidence,flags,how_recovered,corroborating_lines,source_line_number,source_line_text,reason
2026-08-26T09:50:32-04:00,2026-08-26,09:50,ZT top-flow,bullwinkle0001,TSLA,PUTS,342.5,,,,,1,"REFUSED - they didn't say which expiry, so there's no way to know which contract",A,unrecoverable,,no expiry in the text,,5517,"REFUSED  CLOSE TSLA (bullwinkle0001's call) 342.5P x1  ->  they didn't say which expiry, so there's no way to know which contract they meant. Nothing was sent.",expiry could not be resolved: no expiry in the text
2026-08-31T13:48:11-04:00,2026-08-31,13:48,,,AMD,CALLS,480,friday,,,5.4,,alert read from chat,F-airead,unrecoverable,,"expiry written as ""friday"" - cannot be resolved without guessing | chat text (log truncates it): In AMD 480 calls friday expiration avg 5.4 @here",,5935,AI READ  'In AMD 480 calls friday expiration avg 5.4 @here'  ->  BTO AMD $480C friday @ 5.4,"expiry could not be resolved: expiry written as ""friday"" - cannot be resolved without guessing"
2026-09-01T09:31:36-04:00,2026-09-01,09:31,,,SPY,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL6027,6011,"PULLBACK SPY CALL: stock at 761.67, waiting for a dip to $761 (600s window)","only PUTS alert found near this CALL arm (line 6023) - direction does not match, so NOT linked"
2026-09-01T10:10:11-04:00,2026-09-01,10:10,,,SPY,CALLS,762,,,,761.9,,PULLBACK never hit - skipped,C-linked(F-airead),unrecoverable,,contract came from a F-airead line inside the pullback chain (line 6057) | no expiry in the text | chat text (log truncates it): I’m taking SPY 762c @everyone using 761.90 as my a,armL6055;resL6068;,6057,AI READ  'I’m taking SPY 762c @everyone using 761.90 as my a'  ->  BTO SPY $762C @ 761.9,expiry could not be resolved: no expiry in the text
2026-09-02T11:06:47-04:00,2026-09-02,11:06,,,NVDA,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL6530,6521,"PULLBACK NVDA CALL: stock at 225.24, waiting for a dip to $225 (600s window)",no alert for NVDA anywhere near this arm - originating call is not in the log
2026-09-02T14:43:44-04:00,2026-09-02,14:43,,,AAPL,CALLS,230,,,,3.9,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): redo on this now better entry :green_alert: AAPL |,L6789(F-airead),6788,AI READ  'redo on this now better entry :green_alert: AAPL |'  ->  BTO AAPL $230C @ 3.9,expiry could not be resolved: no expiry in the text
2026-09-03T12:19:17-04:00,2026-09-03,12:19,,,SPY,CALLS,773,,,,,,PULLBACK never hit - skipped,C-linked(F-airead),unrecoverable,,contract came from the F-airead line this chain produced at line 7279 | no expiry in the text | chat text (log truncates it): 228 (former intraday support) clears @here on nvda,armL7281;resL7283;L7279(F-airead),7278,AI READ  '228 (former intraday support) clears @here on nvda'  ->  BTO SPY $773C,expiry could not be resolved: no expiry in the text
2026-09-04T09:41:03-04:00,2026-09-04,09:41,,,TSLA,PUTS,355,,,,1.44,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): @Owner Alerts Entry Contract: TSLA $355p Price: $1,,7699,AI READ  '@Owner Alerts Entry Contract: TSLA $355p Price: $1'  ->  BTO TSLA $355P @ 1.44,expiry could not be resolved: no expiry in the text
2026-09-08T09:53:14-04:00,2026-09-08,09:53,,,QQQ,PUTS,717,,,,1.78,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): @Owner Alerts Entry Contract: QQQ $717p Price: $1.,L8484(F-airead),8446,AI READ  '@Owner Alerts Entry Contract: QQQ $717p Price: $1.'  ->  BTO QQQ $717P @ 1.78,expiry could not be resolved: no expiry in the text
2026-09-08T10:06:54-04:00,2026-09-08,10:06,,,TSLA,CALLS,372.5,,,,1.5,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): @Owner Alerts Entry Contract: TSLA $372.5c Price: ,,8518,AI READ  '@Owner Alerts Entry Contract: TSLA $372.5c Price: '  ->  BTO TSLA $372.5C @ 1.5,expiry could not be resolved: no expiry in the text
2026-09-08T11:32:21-04:00,2026-09-08,11:32,,,SPY,PUTS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL8706,8700,"PULLBACK SPY PUT: stock at 767.82, waiting for a bounce to $768 (600s window)",no alert for SPY anywhere near this arm - originating call is not in the log
2026-09-09T11:08:36-04:00,2026-09-09,11:08,,,TSLA,PUTS,367.5,,,,1.27,,PULLBACK armed - no resolution line in the log,C-linked(F-airead),unrecoverable,,contract came from the F-airead line this chain produced at line 9100 | no expiry in the text | chat text (log truncates it): @Owner Alerts Entry Contract: TSLA $367.5p Price: ,armL9102;resLNone;,9100,AI READ  '@Owner Alerts Entry Contract: TSLA $367.5p Price: '  ->  BTO TSLA $367.5P @ 1.27,expiry could not be resolved: no expiry in the text
2026-09-09T11:57:56-04:00,2026-09-09,11:57,,,AAPL,PUTS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL9136,9134,"PULLBACK AAPL PUT: stock at 313.15, waiting for a bounce to $314 (600s window)",no alert for AAPL anywhere near this arm - originating call is not in the log
2026-09-09T14:43:46-04:00,2026-09-09,14:43,,,AAPL,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL9164,9160,"PULLBACK AAPL CALL: stock at 313.57, waiting for a dip to $313 (600s window)",no alert for AAPL anywhere near this arm - originating call is not in the log
2026-09-10T09:44:29-04:00,2026-09-10,09:44,,,TSLA,CALLS,375,,,,1.46,,PULLBACK never hit - skipped,C-linked(F-airead),unrecoverable,,contract came from a F-airead line inside the pullback chain (line 9383) | no expiry in the text | chat text (log truncates it): Entry Contract: TSLA $375 Price: $1.46 @Options Sc,armL9381;resL9421;L9383(F-airead);L9414(F-airead),9378,AI READ  'Entry Contract: TSLA $375 Price: $1.46 @Options Sc'  ->  BTO TSLA $375C @ 1.46,expiry could not be resolved: no expiry in the text
2026-09-10T09:44:30-04:00,2026-09-10,09:44,,,TSLA,CALLS,372.5,,,,2.04,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): @Owner Alerts Entry Contract: TSLA $372.5c Price: ,,9379,AI READ  '@Owner Alerts Entry Contract: TSLA $372.5c Price: '  ->  BTO TSLA $372.5C @ 2.04,expiry could not be resolved: no expiry in the text
2026-09-10T10:02:47-04:00,2026-09-10,10:02,,,SPY,PUTS,758,,,,1.56,,PULLBACK never hit - skipped,C-linked(F-airead),unrecoverable,,contract came from the F-airead line this chain produced at line 9439 | no expiry in the text | chat text (log truncates it): Took starters on 758p @here SPY 1.56,armL9441;resL9481;L9439(F-airead),9438,AI READ  'Took starters on 758p @here SPY 1.56'  ->  BTO SPY $758P @ 1.56,expiry could not be resolved: no expiry in the text
2026-09-10T10:29:31-04:00,2026-09-10,10:29,,,SPY,PUTS,757,,,,2.3,,alert read from chat,F-airead,unrecoverable,,no expiry in the text | chat text (log truncates it): Entered SPY 757P Avg 2.3,,9534,AI READ  'Entered SPY 757P Avg 2.3'  ->  BTO SPY $757P @ 2.3,expiry could not be resolved: no expiry in the text
2026-09-10T11:30:01-04:00,2026-09-10,11:30,,,AAPL,CALLS,,,,,,,PULLBACK never hit - skipped,C-unlinked,unrecoverable,underlying and direction are known; the option contract is NOT,,resL9586,9582,"PULLBACK AAPL CALL: stock at 323.62, waiting for a dip to $323 (600s window)",no alert for AAPL anywhere near this arm - originating call is not in the log
