date,time,channel_id,room,caller,symbol,side,strike,expiry,their_price,action,kind,source_file,line,text
2025-09-19,09:57:00,911389167169191946,Platinum nitro,@Owner Alerts,PLTR,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,36,"@Owner Alerts Comment Closed PLTR there hit SL @nitro_trades Instagram , , [image]"
2025-09-19,10:14:00,911389167169191946,Platinum nitro,Nitro Trades,NVDA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,40,"@Owner Alerts Comment Took out half here on NVDA and raise SL to b/e @nitro_trades Instagram , , [image]"
2025-09-19,10:15:00,911389167169191946,Platinum nitro,@Owner Alerts,NVDA,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,41,"@Owner Alerts Comment Closed rest of NVDA there @nitro_trades Instagram , , [image]"
2025-09-19,10:27:00,911389167169191946,Platinum nitro,@Owner Alerts,PLTR,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,45,"@Owner Alerts Comment Locked in half here on PLTR, raise SL to -5% on rest @nitro_trades Instagram , , [image]"
2025-09-19,10:29:00,911389167169191946,Platinum nitro,@Owner Alerts,PLTR,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,46,"@Owner Alerts Comment Closed rest of PLTR there, thats all for today folks @nitro_trades Instagram , , [image]"
2025-09-19,10:44:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,18,SPY TRIM 3/6 @ 1.22 @vero-alerts
2025-09-19,10:46:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,19,SPY TRIM 1/3 1.40 @vero-alerts
2025-09-19,10:47:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,20,SPY TRIM 1/2 @ 1.42 @vero-alerts
2025-09-19,11:00:00,1323708708374450247,Vero 1,Vero,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,21,SPY OUT LAST @ ENTRY @vero-alerts
2025-09-22,09:49:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,24,QQQ TRIM 1/3 @ 1.56 @vero-alerts
2025-09-22,09:55:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,25,QQQ TRIM 1/2 @ 1.77 SL @ ENTRY @vero-alerts
2025-09-22,10:00:00,911389167169191946,Platinum nitro,@Owner Alerts,SPY,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,53,"@Owner Alerts Comment Closed SPY here broke fvg @nitro_trades Instagram , , [image]"
2025-09-22,10:07:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,26,QQQ OUT @ 1.80 Left a runner in personal @vero-alerts
2025-09-22,10:30:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,27,QQQ OUT @ 62% PROFIT @vero-alerts
2025-09-22,10:36:00,911389167169191946,Platinum nitro,Nitro Trades,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,60,"@Owner Alerts Comment Took out half here on SPY +15% @nitro_trades Instagram , , [image]"
2025-09-22,10:40:00,911389167169191946,Platinum nitro,@Owner Alerts,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,64,"@Owner Alerts Comment SPY +35% @nitro_trades Instagram , , [image]"
2025-09-22,10:44:00,911389167169191946,Platinum nitro,Nitro Trades,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,66,"@Owner Alerts Comment SPY +45% @nitro_trades Instagram , , [image]"
2025-09-22,10:46:00,911389167169191946,Platinum nitro,@Owner Alerts,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,67,"@Owner Alerts Comment SPY +55% @nitro_trades Instagram , , [image]"
2025-09-22,10:48:00,911389167169191946,Platinum nitro,Nitro Trades,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,68,"@Owner Alerts Comment SPY +65% @nitro_trades Instagram , , [image]"
2025-09-22,10:53:00,911389167169191946,Platinum nitro,Nitro Trades,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,70,"@Owner Alerts Comment SPY +85% @nitro_trades Instagram , , [image]"
2025-09-22,13:01:00,911389167169191946,Platinum nitro,Nitro Trades,SPY,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,71,"@Owner Alerts Comment SPY +260% INSANE @nitro_trades Instagram , , [image]"
2025-09-22,13:45:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,11,QQQ OUT @vero-alerts
2025-09-22,14:11:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,13,QQQ OUT Was worth a shot @vero-alerts
2025-09-23,09:47:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,74,"@Owner Alerts Comment Took out half here on AMZN, raise SL to b/e on rest @nitro_trades Instagram , , [image]"
2025-09-23,09:49:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,75,"@Owner Alerts Comment Closed more here on AMZN, leaving runners only @nitro_trades Instagram , , [image]"
2025-09-23,09:50:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,76,"@Owner Alerts Comment AMZN +20% @nitro_trades Instagram , , [image]"
2025-09-23,09:52:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,77,"@Owner Alerts Comment AMZN +30% @nitro_trades Instagram , , [image]"
2025-09-23,09:54:00,911389167169191946,Platinum nitro,Nitro Trades,AMZN,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,78,"@Owner Alerts Comment AMZN +40% FINAL PT HIT @nitro_trades Instagram , , [image]"
2025-09-23,09:55:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,30,QQQ TRIM 1/3 @ 1.17 @vero-alerts
2025-09-23,09:56:00,911389167169191946,Platinum nitro,@Owner Alerts,AMZN,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,80,"@Owner Alerts Comment AMZN +61% @nitro_trades Instagram , , [image]"
2025-09-23,10:00:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,31,QQQ TRIM 1/2 @ 1.25 SL @ ENTRY @vero-alerts
2025-09-23,10:11:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,32,QQQ OUT LAST @vero-alerts
2025-09-23,10:25:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,36,QQQ TRIM 1/3 @ 1.15 @vero-alerts
2025-09-23,11:03:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,38,QQQ TRIM 1/3 @ 1.02 @vero-alerts
2025-09-23,11:41:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,39,QQQ TRIM 1/2 @ 1.02 @vero-alerts
2025-09-23,11:54:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,40,QQQ OUT LAST @ 0.87 Most likely done day trading today unless I see something A-grade. Powell speaking in about 50 minutes. @vero-alerts
2025-09-24,09:45:00,1323708708374450247,Vero 1,Vero,IWM,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,43,IWM OUT @vero-alerts
2025-09-24,09:47:00,911389167169191946,Platinum nitro,@Owner Alerts,AAPL,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,87,"@Owner Alerts Comment Took out half here on AAPL, raise SL to around b/e @nitro_trades Instagram , , [image]"
2025-09-24,09:49:00,911389167169191946,Platinum nitro,Nitro Trades,AAPL,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,88,"@Owner Alerts Comment Closed rest of AAPL there small w @nitro_trades Instagram , , [image]"
2025-09-24,09:58:00,911389167169191946,Platinum nitro,Nitro Trades,PLTR,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,95,"@Owner Alerts Comment Closed PLTR there, didnt get follow through @nitro_trades Instagram , , [image]"
2025-09-24,10:20:00,911389167169191946,Platinum nitro,Nitro Trades,PLTR,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,100,"@Owner Alerts Comment Closed PLTR there around as expected just wicked back up @nitro_trades Instagram , , [image]"
2025-09-24,10:44:00,911389167169191946,Platinum nitro,Nitro Trades,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,105,"@Owner Alerts Comment Took out half here on TSLA around b/e to cut down size @nitro_trades Instagram , , [image]"
2025-09-24,10:49:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,106,"@Owner Alerts Comment Closed more of TSLA here around b/e leaving very small position @nitro_trades Instagram , , [image]"
2025-09-24,10:53:00,911389167169191946,Platinum nitro,Nitro Trades,TSLA,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,107,"@Owner Alerts Comment Closed rest of TSLA too not worth the risk, thats all for today folks @nitro_trades Instagram , , [image]"
2025-09-24,11:10:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,49,SPY TRIM 2/6 @ 1.14 @vero-alerts
2025-09-24,11:15:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,50,SPY TRIM 2/4 @ 1.24 @vero-alerts
2025-09-24,11:33:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,51,SPY TRIM 1/2 @ 1.24 @vero-alerts
2025-09-24,11:39:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,52,SPY OUT @ 1.30 In a runner on personal account @vero-alerts
2025-09-24,11:47:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,53,SPY 60% PROFIT @vero-alerts
2025-09-24,11:51:00,1323708708374450247,Vero 1,@Premium,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,54,SPY 110% PROFIT OUT OF RUNNER THAT'S HOW WE DO IT @Premium @Prodigy
2025-09-24,12:15:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,55,SPY HIT 230% PROFIT @vero-alerts
2025-09-24,13:12:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,15,QQQ OUT Great setup. @vero-alerts
2025-09-24,14:11:00,760694103401955378,Vero 2,@vero-alerts,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,18,QQQ TRIM @ 30% PROFIT @vero-alerts
2025-09-24,14:37:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,19,QQQ OUT REST @vero-alerts
2025-09-25,09:39:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,58,QQQ TRIM 1/2 @ 1.51 @vero-alerts
2025-09-25,09:39:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,111,"@Owner Alerts Comment Took out half here on TSLA nice move @nitro_trades Instagram , , [image]"
2025-09-25,09:40:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,113,"@Owner Alerts Comment TSLA +20% LOCKED IN MAJORITY PROFITS HERE LEAVING RUNNERS ONLY @nitro_trades Instagram , , [image]"
2025-09-25,09:41:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,114,"@Owner Alerts Comment TSLA +32% @nitro_trades Instagram , , [image]"
2025-09-25,09:42:00,911389167169191946,Platinum nitro,Nitro Trades,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,115,"@Owner Alerts Comment TSLA FINAL PT HIT +40% LOCKED IN ALL PROFIT LEAVING ONE RUNNER @nitro_trades Instagram , , [image]"
2025-09-25,09:43:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,59,QQQ OUT @ 2.13 Leaving runners in personal @vero-alerts
2025-09-25,09:58:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,60,QQQ TRIM @ 1.71 Left a runner for data @vero-alerts
2025-09-25,10:04:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,61,QQQ OUT LAST GREAT TRADE @vero-alerts
2025-09-25,10:48:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,21,QQQ OUT @vero-alerts
2025-09-25,11:07:00,760694103401955378,Vero 2,@vero-alerts,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,24,QQQ TRIM @ 1.32 @vero-alerts
2025-09-25,11:11:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,26,QQQ OUT REST @vero-alerts
2025-09-25,11:25:00,760694103401955378,Vero 2,@vero-alerts,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,28,QQQ TRIM @ 1.39 @vero-alerts
2025-09-25,11:27:00,760694103401955378,Vero 2,@vero-alerts,QQQ,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,29,QQQ TRIM @ 1.46 SL @ ENTRY @vero-alerts
2025-09-25,11:33:00,760694103401955378,Vero 2,Vero,QQQ,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,30,QQQ OUT REST @vero-alerts
2025-09-26,09:41:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,64,QQQ OUT @vero-alerts
2025-09-26,09:50:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,68,QQQ OUT PUTS @vero-alerts
2025-09-26,09:58:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,121,"@Owner Alerts Comment Closed TSLA there was worth a try @nitro_trades Instagram , , [image]"
2025-09-26,10:02:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,69,QQQ OUT @ ENTRY @vero-alerts
2025-09-26,10:06:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,72,QQQ TRIM 1/2 @ 1.24 @vero-alerts
2025-09-26,10:06:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,124,"@Owner Alerts Comment Took out half here on TSLA +15% @nitro_trades Instagram , , [image]"
2025-09-26,10:07:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,127,"@Owner Alerts Comment Closed last of TSLA good trade @nitro_trades Instagram , , [image]"
2025-09-26,10:07:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,126,"@Owner Alerts Comment Locked in more here on TSLA +20% leaving rest to go @nitro_trades Instagram , , [image]"
2025-09-26,10:10:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,73,QQQ OUT @ 1.46 @vero-alerts
2025-09-26,10:14:00,911389167169191946,Platinum nitro,@Owner Alerts,PLTR,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,130,"@Owner Alerts Comment Closed PLTR there zero follow through on breakdown @nitro_trades Instagram , , [image]"
2025-09-26,10:23:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,77,SPY TRIM 1/4 @ 1.46 @vero-alerts
2025-09-26,10:24:00,1323708708374450247,Vero 1,Vero,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,78,SPY TRIM 1/3 @ 1.57 @vero-alerts
2025-09-26,10:25:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,79,SPY TRIM 1/2 @ 1.88 @vero-alerts
2025-09-26,10:25:00,911389167169191946,Platinum nitro,Nitro Trades,AAPL,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,134,"@Owner Alerts Comment Took out half of AAPL here, raise SL to -5% @nitro_trades Instagram , , [image]"
2025-09-26,10:27:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,80,SPY OUT LAST @ 2.08 LEAVING A RUNNER IN PERSONAL @vero-alerts
2025-09-26,10:29:00,911389167169191946,Platinum nitro,Nitro Trades,AAPL,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,135,"@Owner Alerts Comment Closed rest of AAPL nice little w to end the day off @nitro_trades Instagram , , [image]"
2025-09-29,09:58:00,1323708708374450247,Vero 1,Vero,IWM,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,85,IWM TRIM 1/3 @ 1.30 @vero-alerts
2025-09-29,10:07:00,911389167169191946,Platinum nitro,Nitro Trades,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,142,"@Owner Alerts Comment Took out half here on HOOD, raise SL on rest to -5% @nitro_trades Instagram , , [image]"
2025-09-29,10:08:00,1144369893760831489,Midas,👑KingBeeAri🐝,HIMS,,,,,TRIM,option,grab 1144369893760831489 Midas 2026-09-19.txt,63,10% HIMS @everyone
2025-09-29,10:08:00,1323708708374450247,Vero 1,Vero,IWM,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,87,IWM OUT @vero-alerts
2025-09-29,10:08:00,911389167169191946,Platinum nitro,@Owner Alerts,HOOD,,,,,CLOSE,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,143,"@Owner Alerts Comment Closed rest of HOOD here, too much chop @nitro_trades Instagram , , [image]"
2025-09-29,10:33:00,911389167169191946,Platinum nitro,@Owner Alerts,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,147,"@Owner Alerts Comment Took out half here on HOOD, raise SL to -2% on rest @nitro_trades Instagram , , [image]"
2025-09-29,10:34:00,911389167169191946,Platinum nitro,Nitro Trades,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,148,"@Owner Alerts Comment HOOD +15% locked in more leaving runners only @nitro_trades Instagram , , [image]"
2025-09-29,10:44:00,1323708708374450247,Vero 1,Vero,IWM,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,92,IWM OUT @vero-alerts
2025-09-29,11:17:00,760694103401955378,Vero 2,Vero,IWM,,,,,TRIM,option,grab 760694103401955378 Vero-2 2026-09-19.txt,34,IWM TRIM @ 1.84 SL @ ENTRY @vero-alerts
2025-09-29,14:19:00,911389167169191946,Platinum nitro,Nitro Trades,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,151,"@Owner Alerts (edited) Monday, September 29, 2025 at 2:19 PM Comment HOOD +70% @nitro_trades Instagram , ,"
2025-09-29,14:29:00,760694103401955378,Vero 2,Vero,IWM,,,,,CLOSE,option,grab 760694103401955378 Vero-2 2026-09-19.txt,35,IWM OUT REST Price action should come with a blanket and pillow @vero-alerts
2025-09-29,16:30:00,911389167169191946,Platinum nitro,Nitro Trades,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,153,"@Owner Alerts Comment HOOD +134% swinging these into rest of wee @nitro_trades Instagram , , [image]"
2025-09-30,09:34:00,911389167169191946,Platinum nitro,Nitro Trades,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,154,"@Owner Alerts Comment HOOD +170% @nitro_trades Instagram , , [image]"
2025-09-30,09:38:00,1323708708374450247,Vero 1,@vero-alerts,QQQ,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,95,QQQ TRIM 1/2 @ 1.72 @vero-alerts
2025-09-30,09:38:00,911389167169191946,Platinum nitro,@Owner Alerts,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,155,"@Owner Alerts Comment HOOD +281% INSANE @nitro_trades Instagram , , [image]"
2025-09-30,09:41:00,911389167169191946,Platinum nitro,@Owner Alerts,HOOD,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,156,"@Owner Alerts Comment LOCKED IN MY PROFITS HERE ON HOOD +310% :fire; @nitro_trades Instagram , , [image]"
2025-09-30,09:45:00,1323708708374450247,Vero 1,Vero,QQQ,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,96,QQQ OUT @vero-alerts
2025-09-30,10:34:00,1323708708374450247,Vero 1,Vero,IWM,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,100,IWM TRIM 1/4 @ 1.42 @vero-alerts
2025-09-30,10:37:00,1323708708374450247,Vero 1,@vero-alerts,IWM,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,101,IWM TRIM 1/3 @ 1.51 @vero-alerts
2025-09-30,10:38:00,1323708708374450247,Vero 1,@vero-alerts,IWM,,,,,TRIM,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,103,IWM TRIM 1/2 @ 1.65 @vero-alerts
2025-09-30,10:45:00,1323708708374450247,Vero 1,Vero,IWM,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,104,IWM OUT LAST @ 1.46 @vero-alerts
2025-10-01,09:56:00,1323708708374450247,Vero 1,@vero-alerts,SPY,,,,,CLOSE,option,grab 1323708708374450247 Vero-1 2026-09-19.txt,107,SPY OUT @vero-alerts
2025-10-01,10:25:00,911389167169191946,Platinum nitro,@Owner Alerts,TSLA,,,,,TRIM,option,grab 911389167169191946 Platinum-nitro 2026-09-19.txt,165,"@Owner Alerts Comment Took out half here on TSLA, raise SL on rest to -2% @nitro_trades Instagram , , [image]"
