ts,date,time,room,caller,kind,symbol,side,strike,expiry_raw,expiry_resolved,occ,their_price,their_stop,their_target,msg_type,links_to,confidence,clue,already_in_master_alerts,source_file,source_message_verbatim
2025-09-03 09:39:21,2025-09-03,09:39:21,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,TSLA,PUT,315.0,,,,1.34,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: TSLA $315p Price: $1.34 Comments:Starter only
2025-09-03 09:41:58,2025-09-03,09:41:58,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,,,,,,,,,exit,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed TSLA there way too choppy
2025-09-03 09:53:47,2025-09-03,09:53:47,Platinum Trading: 🟣│equity #983807207625859143,Mr M Trades 🤖,equity,RDDT,LONG,,,,,236.0,,,commentary,,high,"ticker written with $ and an explicit Entry price, no strike/side anywhere -> shares, not an option",no,signal-room-chat Aug-23-2026.txt,NEW ENTRY IDEA Swing Trade Idea $RDDT Entry: $236 Levels: 240 / 243 / 245 / 248 / 250 / 260 / 270+ ⭕️ Risk: 213 Starter @MrMTrades
2025-09-03 10:06:42,2025-09-03,10:06:42,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,GOOG,,,,,,,,,exit,,medium,"management message; ticker GOOG named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed GOOG didn't get follow through there
2025-09-03 10:15:18,2025-09-03,10:15:18,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,SPY,PUT,641.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment SPY $641p on watch
2025-09-03 10:25:49,2025-09-03,10:25:49,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,PLTR,CALL,165.0,,,,1.12,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: PLTR $165c Price: $1.12 Comments:Starter only
2025-09-04 10:05:31,2025-09-04,10:05:31,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,QQQ,PUT,568.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment QQQ $568p on watch
2025-09-05 09:59:37,2025-09-05,09:59:37,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,MSFT,PUT,500.0,,,,1.24,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: MSFT $500p Price: $1.24 Comments:LOTTO
2025-09-05 10:00:28,2025-09-05,10:00:28,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,HOOD,PUT,100.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment HOOD $100p on watch, this one will be quarter sized"
2025-09-08 09:45:13,2025-09-08,09:45:13,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,NVDA,CALL,172.5,,,,1.74,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: NVDA $172.5c Price: $1.74 Comments:Starter only
2025-09-08 09:48:12,2025-09-08,09:48:12,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,IWM,PUT,237.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment IWM $237p on watch as well
2025-09-09 10:06:50,2025-09-09,10:06:50,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,PLTR,PUT,152.5,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment PLTR $152.5p on watch
2025-09-09 10:10:25,2025-09-09,10:10:25,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,GOOG,CALL,237.5,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment GOOG $237.5c on watch
2025-09-09 10:12:04,2025-09-09,10:12:04,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,GOOG,CALL,237.5,,,,2.27,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: GOOG $237.5c Price: $2.27 Comments:Starter only
2025-09-09 10:18:31,2025-09-09,10:18:31,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,QQQ,PUT,579.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment QQQ $579p on watch
2025-09-11 10:02:30,2025-09-11,10:02:30,Platinum Trading: 🟣│equity #983807207625859143,Mr M Trades 🤖,equity,BMNR,LONG,,,,,49.9,,,commentary,,high,"ticker written with $ and an explicit Entry price, no strike/side anywhere -> shares, not an option",no,signal-room-chat Aug-23-2026.txt,NEW ENTRY IDEA Swing Trade Idea $BMNR Entry: $49.90 Levels: 51 / 52 / 54 / 56 / 59+ ⭕️ Risk: 45.90 1/2 position @MrMTrades
2025-09-11 10:37:16,2025-09-11,10:37:16,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,,,,,,,,,exit,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed TSLA there way too choppy
2025-09-11 10:41:14,2025-09-11,10:41:14,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,TSLA,CALL,365.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment Watching TSLA $365c again, 3% of port again very small sized and no starter this time"
2025-09-11 10:52:25,2025-09-11,10:52:25,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,CALL,365.0,,,,2.33,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: TSLA $365c Price: $2.33 Comments:HIGH RISK
2025-09-12 09:39:53,2025-09-12,09:39:53,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,CALL,382.5,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment TSLA $382.5c on watch will be 2% of portfolio
2025-09-12 09:41:16,2025-09-12,09:41:16,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,TSLA,CALL,382.5,,,,2.1,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: TSLA $382.5c Price: $2.10 Comments:HIGH RISK starter only
2025-09-15 09:09:18,2025-09-15,09:09:18,Platinum Trading: 🟣│equity #983807207625859143,Mr M Trades 🤖,equity,AIRE,LONG,,,,,1.5,,,commentary,,high,"ticker written with $ and an explicit Entry price, no strike/side anywhere -> shares, not an option",no,signal-room-chat Aug-23-2026.txt,"NOTES / COMMENT ON WATCH TODAY: $AIRE Entry: $1.50 (pivot) Levels Watch: 1.60 / 1.65 / 1.70 / 1.80 / 1.95+ Fundamental Catalyst: reAlpha reported a 1,909% ToY revenue surge and secured a $5M capital raise to support expansion. The company is actively rolling out AI-powered mortgage and homebuying services in Texas and Utah, while enhancing its AI Loan Officer Assistant. Recent leadership upgrades include a new CEO and CMO to accelerate execution. Technical View Momentum is building with strong support around $1.30, aligned with the 20-day MA acting as the backbone of the uptrend. , A confirmed reclaim of $1.50 sets up a clean path toward the $1.80 highs and beyond. , Keep this on radar as volume builds and catalysts align. Disclaimer @MrMTrades"
2025-09-15 09:55:45,2025-09-15,09:55:45,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,AAPL,,,,,,,,,exit,,medium,"management message; ticker AAPL named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed AAPL here a bit too choppy to get a move
2025-09-16 09:55:40,2025-09-16,09:55:40,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,AAPL,CALL,245.0,,,,,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: AAPL $245c Price: .73 Comments:HIGH RISK starter only
2025-09-16 09:57:13,2025-09-16,09:57:13,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,AAPL,CALL,245.0,,,,,,,trim,2025-09-16 09:55:40,medium,"management message; ticker AAPL named, contract details come from the linked entry; contract inherited from the linked entry at 2025-09-16 09:55:40",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment Took out half on AAPL here, raise SL to b/e on rest"
2025-09-17 10:09:09,2025-09-17,10:09:09,Platinum Trading: 🟣│equity #983807207625859143,@Equity Alerts,equity,PONY,LONG,,,,,17.4,,,commentary,,high,"ticker written with $ and an explicit Entry price, no strike/side anywhere -> shares, not an option",no,signal-room-chat Aug-23-2026.txt,NEW ENTRY IDEA Swing Trade Idea $PONY Entry: $17.40 Levels: 17.6 / 18 / 18.5 / 19 / 20+ ⭕️ Risk: 16.30 Starter @MrMTrades
2025-09-17 14:05:09,2025-09-17,14:05:09,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,SPY,CALL,665.0,,,,,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: SPY $665c Price: .68 Comments:LOTTO
2025-09-17 14:13:18,2025-09-17,14:13:18,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,SPY,,,,,,,,,exit,,medium,"management message; ticker SPY named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed SPY calls there didnt get anything on the breakout
2025-09-17 14:14:17,2025-09-17,14:14:17,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,AMD,PUT,150.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment AMD $150p on watch, this one will be HALF SIZING so its a normal trade not a lotto"
2025-09-17 14:17:22,2025-09-17,14:17:22,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,AMD,,,,,,,,,exit,,medium,"management message; ticker AMD named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed AMD there didnt get follow through on the fvg
2025-09-17 14:57:43,2025-09-17,14:57:43,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,SPY,PUT,654.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment SPY $654p on watch again for a quick scalp, LOTTO as always"
2025-09-17 15:02:09,2025-09-17,15:02:09,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,SPY,CALL,661.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment SPY $661c on watch for a LOTTO last one for the day
2025-09-17 15:09:27,2025-09-17,15:09:27,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,SPY,,,,,,,,,exit,,medium,"management message; ticker SPY named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed last of SPY nice trade
2025-09-18 10:27:58,2025-09-18,10:27:58,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,NVDA,CALL,177.5,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment NVDA $177.5c on watch
2025-09-18 10:29:12,2025-09-18,10:29:12,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,NVDA,CALL,177.5,,,,1.04,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: NVDA $177.5c Price: $1.04 Comments:Starter only
2025-09-18 10:29:29,2025-09-18,10:29:29,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,,,,,,,,,add,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment Leave room for an avg down in case we need it, also on half sizing not trying to risk profits from TSLA"
2025-09-18 10:33:41,2025-09-18,10:33:41,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,NVDA,CALL,177.5,,,,,,,exit,2025-09-18 10:29:12,medium,"management message; ticker NVDA named, contract details come from the linked entry; contract inherited from the linked entry at 2025-09-18 10:29:12",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed last of NVDA
2025-09-18 13:41:53,2025-09-18,13:41:53,Platinum Trading: 🟣│futures-alerts #911390080285962290,@Futures Alerts,future,MNQ,SHORT,,,,,24486.25,,,entry,,high,direction and symbol written; entry price written in the message,no,signal-room-chat Aug-23-2026.txt,@Futures Alerts IN MNQ short @ $24486.25
2025-09-19 10:14:51,2025-09-19,10:14:51,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,NVDA,,,,,,,,,trim,,medium,"management message; ticker NVDA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Took out half here on NVDA and raise SL to b/e
2025-09-19 10:15:29,2025-09-19,10:15:29,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,NVDA,,,,,,,,,exit,,medium,"management message; ticker NVDA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed rest of NVDA there
2025-09-22 10:36:14,2025-09-22,10:36:14,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,SPY,,,,,,,,,trim,,medium,"management message; ticker SPY named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Took out half here on SPY +15%
2025-09-24 09:40:19,2025-09-24,09:40:19,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,AAPL,PUT,250.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment AAPL $250p on watch, half sizing once again"
2025-09-24 09:45:30,2025-09-24,09:45:30,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,AAPL,PUT,250.0,,,,1.06,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: AAPL $250p Price: $1.06 Comments:Starter only
2025-09-24 10:20:11,2025-09-24,10:20:11,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,PLTR,,,,,,,,,exit,,medium,"management message; ticker PLTR named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed PLTR there around as expected just wicked back up
2025-09-24 10:27:47,2025-09-24,10:27:47,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,CALL,462.5,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment TSLA $462.5c on watch, again we are Sizing SMALL and the market is not too clean right now so be careful"
2025-09-24 10:39:27,2025-09-24,10:39:27,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,TSLA,,,,,,1.62,,,add,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Took my avg down here on TSLA new avg @ $1.62
2025-09-24 10:44:55,2025-09-24,10:44:55,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,,,,,,,,,trim,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Took out half here on TSLA around b/e to cut down size
2025-09-24 10:49:31,2025-09-24,10:49:31,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,TSLA,,,,,,,,,exit,,medium,"management message; ticker TSLA named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed more of TSLA here around b/e leaving very small position
2025-09-25 13:59:55,2025-09-25,13:59:55,Platinum Trading: 🟣│equity #983807207625859143,Mr M Trades 🤖,option,CRWV,,,,,,,,,exit,,medium,"management message; ticker CRWV named, contract details come from the linked entry",no,signal-room-chat Aug-23-2026.txt,UPDATE Ticker: CRWV After hitting level 3 Got stopped out above entry! Don’t like this weakness! Protect capital first! @MrMTrades
2025-09-26 09:45:03,2025-09-26,09:45:03,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,PUT,420.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment TSLA $420p on watch
2025-09-26 09:52:50,2025-09-26,09:52:50,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,PUT,420.0,,,,1.74,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: TSLA $420p Price: $1.74 Comments:Full pos. no starter
2025-09-26 09:58:36,2025-09-26,09:58:36,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,TSLA,PUT,420.0,,,,,,,exit,2025-09-26 09:52:50,medium,"management message; ticker TSLA named, contract details come from the linked entry; contract inherited from the linked entry at 2025-09-26 09:52:50",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Closed TSLA there was worth a try
2025-09-29 09:32:31,2025-09-29,09:32:31,Platinum Trading: 🟣│equity #983807207625859143,Mr M Trades 🤖,equity,MU,LONG,,,,,161.8,,,commentary,,high,"ticker written with $ and an explicit Entry price, no strike/side anywhere -> shares, not an option",no,signal-room-chat Aug-23-2026.txt,NEW ENTRY IDEA Swing Trade Idea $MU Entry: $161.80 Levels: 164 / 167 / 169 / 172 / 175+ ⭕️ Risk: 155 Starter @MrMTrades
2025-09-29 09:55:32,2025-09-29,09:55:32,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,HOOD,CALL,135.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Comment Watching HOOD $135c instead
2025-09-29 10:00:34,2025-09-29,10:00:34,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,HOOD,CALL,135.0,,,,1.54,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: HOOD $135c Price: $1.54 Comments:Starter only
2025-09-29 10:28:43,2025-09-29,10:28:43,Platinum Trading: 👑│nitro #911389167169191946,Nitro Trades,option,HOOD,CALL,135.0,,,,,,,commentary,,low,"strike and side are written, expiry is not stated anywhere - left blank; watchlist wording, no fill stated",no,signal-room-chat Aug-23-2026.txt,"@Owner Alerts Comment HOOD $135c on watch again, but sizing will be quarter this time instead of half"
2025-09-29 10:32:29,2025-09-29,10:32:29,Platinum Trading: 👑│nitro #911389167169191946,@Owner Alerts,option,HOOD,CALL,135.0,,,,2.05,,,entry,,low,"strike and side are written, expiry is not stated anywhere - left blank",no,signal-room-chat Aug-23-2026.txt,@Owner Alerts Entry Contract: HOOD $135c Price: $2.05 Comments:Starter only
