date,entry_time,event_time,room,caller,symbol,contract,entry,event,reported_exit,reported_pct,profit_per_contract,calculated_pct,implied_exit,trim_size,basis,raw
2026-08-19,09:49:58,09:51:26,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,10.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:51 AM ] Wednesday, August 19, 2026 at 9:51 AM 10% @here"
2026-08-19,09:48:49,09:51:43,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,partial trim,,34.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 9:51 AM ] Wednesday, August 19, 2026 at 9:51 AM @Mike (Admin) trimming SPY @ 34% @everyone"
2026-08-19,09:50:37,09:51:54,Summit Trading Strategies: 📌｜alert-room,TradeLikeGates,NFLX,NFLX 79C 8/21/26 @ 1.00,1.0,partial trim,,10.0,,,1.1,,caller-stated,"TradeLikeGates: [ 9:51 AM ] Wednesday, August 19, 2026 at 9:51 AM @here $NFLX up close to 10%"
2026-08-19,09:49:58,09:52:01,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,,,,,,caller trim; price unavailable,"👑KingBeeAri🐝: [ 9:52 AM ] Wednesday, August 19, 2026 at 9:52 AM Trim @here"
2026-08-19,09:48:49,09:52:08,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,partial trim,,40.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 9:52 AM ] Wednesday, August 19, 2026 at 9:52 AM @Mike (Admin) trimming SPY @ 40% @everyone"
2026-08-19,09:49:58,09:52:13,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,13.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:52 AM ] Wednesday, August 19, 2026 at 9:52 AM Trimmed @ 13%"
2026-08-19,09:41:46,09:52:28,VeroTrade: ✅⏐vero-trades,Vero,QQQ,QQQ 716P 8/19 @ 1.42,1.42,full exit,150.0,150.0,,10463.380281690143,,,caller-stated,"@vero-alerts: [ 9:52 AM ] Wednesday, August 19, 2026 at 9:52 AM QQQ OUT @ 150% PROFIT @vero-alerts"
2026-08-19,09:49:58,09:52:45,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,20.0,20.0,,,,0.5,caller-stated,"👑KingBeeAri🐝: [ 9:52 AM ] Wednesday, August 19, 2026 at 9:52 AM Out of half @ 20% @everyone"
2026-08-19,09:49:58,09:53:01,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,31.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM 31% @here"
2026-08-19,09:39:57,09:53:05,ZTRADEZ (OPTIONS & STOCKS): ◽︱🎯madhatter-trades,stockguy007,AAPL,AAPL 330C 9/18,,partial trim,,,,,,,caller trim; price unavailable,"stockguy007: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM Trimmed"
2026-08-19,09:49:58,09:53:16,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,37.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM 37% down to runners @here"
2026-08-19,09:50:37,09:53:17,Summit Trading Strategies: 📌｜alert-room,TradeLikeGates,NFLX,NFLX 79C 8/21/26 @ 1.00,1.0,partial trim,,20.0,,,1.2,,caller-stated,"TradeLikeGates: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM @here $NFLX now up close to 20% can lock it in"
2026-08-19,09:49:58,09:53:23,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,47.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM 47% @here"
2026-08-19,09:48:49,09:53:24,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Mike,SPY,SPY 770P 8/20,,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM @Mike (Admin) all out of SPY @everyone"
2026-08-19,09:49:58,09:53:45,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,50.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM 50% @here"
2026-08-19,09:53:14,09:53:49,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,12.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 9:53 AM ] Wednesday, August 19, 2026 at 9:53 AM @Unraveller (Admin)🔮 trimming GOOGL @ 12% @everyone"
2026-08-19,09:49:58,09:54:51,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,57.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:54 AM ] Wednesday, August 19, 2026 at 9:54 AM 57% @here"
2026-08-19,09:49:58,09:55:00,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,60.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:55 AM ] Wednesday, August 19, 2026 at 9:55 AM 60% @here"
2026-08-19,09:49:58,09:55:12,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,67.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:55 AM ] Wednesday, August 19, 2026 at 9:55 AM 67% @here"
2026-08-19,09:50:50,09:55:18,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,MSFT,MSFT 480C 8/21 @ 5.20,5.2,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 9:55 AM ] Wednesday, August 19, 2026 at 9:55 AM @Unraveller (Admin)🔮 all out of MSFT @everyone"
2026-08-19,09:49:58,09:58:57,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,82.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:58 AM ] Wednesday, August 19, 2026 at 9:58 AM 82% @here"
2026-08-19,09:49:58,09:59:11,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,87.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:59 AM ] Wednesday, August 19, 2026 at 9:59 AM 87% @here"
2026-08-19,09:49:58,09:59:15,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,90.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:59 AM ] Wednesday, August 19, 2026 at 9:59 AM 90%"
2026-08-19,09:49:58,09:59:32,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,95.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 9:59 AM ] Wednesday, August 19, 2026 at 9:59 AM 95% @here"
2026-08-19,09:49:58,10:00:13,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,partial trim,,100.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 10:00 AM ] Wednesday, August 19, 2026 at 10:00 AM 100% @everyone"
2026-08-19,09:49:58,10:00:30,Honey Drip Network 🍯💰📈: 👑｜aristotle-trades,👑KingBeeAri🐝,AAPL,AAPL 315C 8/21,,full exit,103.0,103.0,,,,,caller-stated,"👑KingBeeAri🐝: [ 10:00 AM ] Wednesday, August 19, 2026 at 10:00 AM Fully out @here 103%"
2026-08-19,09:41:46,10:06:56,VeroTrade: ✅⏐vero-trades,Vero,QQQ,QQQ 716P 8/19 @ 1.42,1.42,full exit,1.43,,,0.7042253521126767,,,caller-stated,JpmInvestments: @everyone Close QQQ 08/19 716C @1.43 (All out) Jpm Options | For Informational Purposes Only – Not Financial Advice•Today at 10:06 AM Jpm Options | For Informational Purposes Only – Not Financial Advice•Today at 10:06 AM •
2026-08-19,09:53:14,10:09:42,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,24.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:09 AM Wednesday, August 19, 2026 at 10:09 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 24% @everyone"
2026-08-19,09:53:14,10:11:43,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,30.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 10:11 AM ] Wednesday, August 19, 2026 at 10:11 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 30% @everyone"
2026-08-19,09:53:14,10:14:03,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,50.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:14 AM Wednesday, August 19, 2026 at 10:14 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 50% @everyone"
2026-08-19,09:50:50,10:17:36,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,MSFT,MSFT 480C 8/21 @ 5.20,5.2,partial trim,,30.0,,,6.760000000000001,,caller-stated,"HoneyDrip (Scribe): [ 10:17 AM ] Wednesday, August 19, 2026 at 10:17 AM @Unraveller (Admin)🔮 trimming MSFT @ 30% @everyone"
2026-08-19,10:17:29,10:19:09,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,SPY,SPY 769C 8/20 @ 2.50,2.5,partial trim,,10.0,,,2.75,,caller-stated,"HoneyDrip (Scribe): [ 10:19 AM ] Wednesday, August 19, 2026 at 10:19 AM @Brett (Admin) trimming SPY @ 10% @everyone"
2026-08-19,09:53:14,10:20:23,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,35.0,,,,,caller-stated,"Unraveller (Admin)🔮: Unraveller (Admin)🔮 ADMINS — 10:20 AM Wednesday, August 19, 2026 at 10:20 AM Amazing longs on googl 50%+ and msft 35%+ . Both breaking hod and strong. @everyone"
2026-08-19,09:50:50,10:26:15,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,MSFT,MSFT 480C 8/21 @ 5.20,5.2,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:26 AM Wednesday, August 19, 2026 at 10:26 AM @Unraveller (Admin)🔮 all out of MSFT @everyone"
2026-08-19,10:17:29,10:32:10,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,SPY,SPY 769C 8/20 @ 2.50,2.5,partial trim,,12.0,,,2.8000000000000003,,caller-stated,"HoneyDrip (Scribe): [ 10:32 AM ] Wednesday, August 19, 2026 at 10:32 AM @Brett (Admin) trimming SPY @ 12% @everyone"
2026-08-19,10:17:29,10:36:28,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,SPY,SPY 769C 8/20 @ 2.50,2.5,partial trim,,20.0,,,3.0,,caller-stated,"HoneyDrip (Scribe): [ 10:36 AM ] Wednesday, August 19, 2026 at 10:36 AM @Brett (Admin) trimming SPY @ 20% @everyone Forward More"
2026-08-19,10:17:29,10:38:23,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,SPY,SPY 769C 8/20 @ 2.50,2.5,partial trim,,40.0,,,3.5,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:38 AM Wednesday, August 19, 2026 at 10:38 AM @Brett (Admin) trimming SPY @ 40% @everyone"
2026-08-19,10:32:50,10:39:12,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 340P 8/21 @ 4.00,4.0,full exit,,-12.0,,,3.52,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:39 AM Wednesday, August 19, 2026 at 10:39 AM @Unraveller (Admin)🔮 all out of TSLA -12% keep same cons loaded @everyone"
2026-08-19,10:17:29,10:42:02,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Brett,SPY,SPY 769C 8/20 @ 2.50,2.5,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 10:42 AM ] Wednesday, August 19, 2026 at 10:42 AM @Brett (Admin) all out of SPY @everyone"
2026-08-19,10:42:47,10:44:26,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,Market Guru™ Alerts,MGC,MGC @ 4553.00,4553.0,partial trim,,,,,,,caller trim; price unavailable,Market Guru™ Alerts: @everyone 40 ticks trim Do not take this as financial advice! || ⏱︎ 10:44:26 EST Do not take this as financial advice! || ⏱︎ 10:44:26 EST
2026-08-19,10:42:47,10:48:19,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,Market Guru™ Alerts,MGC,MGC @ 4553.00,4553.0,partial trim,,,,,,,caller trim; price unavailable,Market Guru™ Alerts: @everyone 145 ticks trim 2 Do not take this as financial advice! || ⏱︎ 10:48:19 EST Do not take this as financial advice! || ⏱︎ 10:48:19 EST
2026-08-19,09:53:14,10:48:31,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,56.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:48 AM Wednesday, August 19, 2026 at 10:48 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 56% @everyone"
2026-08-19,10:44:19,10:51:05,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 345P 8/21 @ 4.60,4.6,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 10:51 AM ] Wednesday, August 19, 2026 at 10:51 AM @Unraveller (Admin)🔮 all out of TSLA @everyone Green"
2026-08-19,09:53:14,10:52:58,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,65.0,,,,,caller-stated,"HoneyDrip (Scribe): [ 10:52 AM ] Wednesday, August 19, 2026 at 10:52 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 65% @everyone"
2026-08-19,09:53:14,10:56:38,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,70.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 10:56 AM Wednesday, August 19, 2026 at 10:56 AM @Unraveller (Admin)🔮 trimming more GOOGL @ 70% @everyone"
2026-08-19,09:53:14,11:08:18,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,partial trim,,82.0,,,,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 11:08 AM Wednesday, August 19, 2026 at 11:08 AM @Unraveller (Admin)🔮 trimming GOOGL @ 82% @everyone"
2026-08-19,09:53:14,11:12:30,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,GOOGL,GOOGL 342.5C 8/21,,full exit,,,,,,,caller exit; price unavailable,"HoneyDrip (Scribe): [ 11:12 AM ] Wednesday, August 19, 2026 at 11:12 AM @Unraveller (Admin)🔮 all out of GOOGL @everyone"
2026-08-19,11:21:54,11:22:11,ZTRADEZ (OPTIONS & STOCKS): 🟢︱🔪scalps,Bullwinkle,TSLA,TSLA 352.5C @ 7.36,7.36,full exit,,,,,,,caller exit; price unavailable,"Bullwinkle: Bullwinkle TSLA | $352.5 C 7.32 NEXT WEK @everyone (edited) Wednesday, August 19, 2026 at 11:22 AM Bullwinkle EDU — 11:31 AM Wednesday, August 19, 2026 at 11:31 AM TSLA | 7.65 OUT PENDING ORDER SHOULD FILL"
2026-08-19,10:53:17,11:26:50,ZTRADEZ (OPTIONS & STOCKS): 🟢︱🔪scalps,,MES,MES @ 7748.75,7748.75,full exit,,,,,,,caller exit; price unavailable,"Stormzy: Stormzy APP — 11:26 AM Wednesday, August 19, 2026 at 11:26 AM @everyone Trade Alert Remaining con stopped out on MES at B/E. Beautiful catch to start the morning."
2026-08-19,12:03:56,12:06:29,ZTRADEZ (OPTIONS & STOCKS): 🟢︱🔪scalps,Bullwinkle,MRNA,MRNA 150C @ 34.20,34.2,full exit,,,,,,,caller exit; price unavailable,"Bullwinkle: Bullwinkle MRNA | $150 C 34.20 DEC 18 34.10 @everyone Bullwinkle EDU — 12:06 PM Wednesday, August 19, 2026 at 12:06 PM MRNA | 35.40 OUT"
2026-08-19,10:42:47,13:22:16,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,Market Guru™ Alerts,MGC,MGC @ 4553.00,4553.0,partial trim,,,,,,,caller trim; price unavailable,"Market Guru™ Alerts: Market Guru™ Alerts APP — 1:22 PM Wednesday, August 19, 2026 at 1:22 PM @everyone 75 ticks trim 1 Do not take this as financial advice! || ⏱︎ 13:22:16 EST"
2026-08-19,10:42:47,14:19:42,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,Market Guru™ Alerts,MGC,MGC @ 4553.00,4553.0,partial trim,,,,,,,caller trim; price unavailable,"Market Guru™ Alerts: Market Guru™ Alerts APP — 2:19 PM Wednesday, August 19, 2026 at 2:19 PM @everyone 125 ticks trim 2 Do not take this as financial advice! || ⏱︎ 14:19:42 EST"
2026-08-19,13:15:31,14:32:15,ZTRADEZ (OPTIONS & STOCKS): ◽︱namrood-options,Namrood-BOT,AAPL,AAPL 310P 8/21/2026 @ 0.92,0.92,partial trim,,11.96,,,1.030032,,caller-stated,Namrood-BOT: @everyone Close or Trim & Set SL to BE Trim some?? [1;30;47mAAPL 310P 2026-08-21 0.9200 → 1.03 P/L: +11.96% ($11.00)[0m @Namrood - LIVE DASHBOARD @ZTRADEZ (OPTIONS & STOCKS) | Wednesday - 08-19-2026 02:32 PM EST @ZTRADEZ (OPTIONS & STOCKS) | Wednesday - 08-19-2026 02:32 PM EST
2026-08-19,09:39:57,14:34:04,ZTRADEZ (OPTIONS & STOCKS): ◽︱🎯madhatter-trades,stockguy007,AAPL,AAPL 330C 9/18,,partial trim,,,,,,,caller trim; price unavailable,"stockguy007: stockguy007 APP — 2:34 PM Wednesday, August 19, 2026 at 2:34 PM trim orders: 1.60 & 1.65 for now , will evaluate for final portions"
2026-08-19,09:39:57,14:35:59,ZTRADEZ (OPTIONS & STOCKS): ◽︱🎯madhatter-trades,stockguy007,AAPL,AAPL 330C 9/18,,partial trim,,,,,,,caller trim; price unavailable,"stockguy007: [ 2:35 PM ] Wednesday, August 19, 2026 at 2:35 PM updating first trim to 1.64"
2026-08-19,09:39:57,15:31:16,ZTRADEZ (OPTIONS & STOCKS): ◽︱🎯madhatter-trades,stockguy007,AAPL,AAPL 330C 9/18,,full exit,,,,,,,caller exit; price unavailable,"stockguy007: stockguy007 APP — 3:31 PM Wednesday, August 19, 2026 at 3:31 PM Likely closing up aapl before end of day so be prepared for an update"
2026-08-19,20:21:46,20:41:02,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,,MGC,MGC @ 4572.00,4572.0,partial trim,,,,,,,caller trim; price unavailable,"Market Guru™ Alerts: Market Guru™ Alerts APP — 8:41 PM Wednesday, August 19, 2026 at 8:41 PM @everyone 86 ticks trim 1 Do not take this as financial advice! || ⏱︎ 20:41:02 EST"
2026-08-19,20:21:46,21:03:18,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,,MGC,MGC @ 4572.00,4572.0,partial trim,,,,,,,caller trim; price unavailable,"Market Guru™ Alerts: Market Guru™ Alerts APP — 9:03 PM Wednesday, August 19, 2026 at 9:03 PM @everyone 205 ticks trim 2 Do not take this as financial advice! || ⏱︎ 21:03:18 EST"
2026-08-19,22:32:08,22:34:41,ZTRADEZ (OPTIONS & STOCKS): 📶︱stormzyy,Stormzy,MNQ,MNQ @ 29626.50,29626.5,full exit,,,,,,,caller exit; price unavailable,"Stormzy: [ 10:34 PM ] Wednesday, August 19, 2026 at 10:34 PM @everyone Trade Alert Stopped out"
2026-08-19,23:14:58,23:23:46,ZTRADEZ (OPTIONS & STOCKS): 🚀︱guru-futures,Market Guru™ Alerts,MNQ,MNQ @ 29630.00,29630.0,full exit,,,,,,,caller exit; price unavailable,"Market Guru™ Alerts: Market Guru™ Alerts APP — 11:23 PM Wednesday, August 19, 2026 at 11:23 PM @everyone mnq stopped out Do not take this as financial advice! || ⏱︎ 23:23:46 EST"
2026-08-20,09:33:19,09:34:06,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 347.5P 8/21 @ 5.15,5.15,partial trim,,10.0,,,5.665000000000001,,caller-stated,"HoneyDrip (Scribe): [ 9:34 AM ] Thursday, August 20, 2026 at 9:34 AM @Unraveller (Admin)🔮 trimming TSLA @ 10% @everyone"
2026-08-20,09:33:19,09:34:57,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 347.5P 8/21 @ 5.15,5.15,partial trim,,24.0,,,6.386,,caller-stated,"HoneyDrip (Scribe): [ 9:34 AM ] Thursday, August 20, 2026 at 9:34 AM @Unraveller (Admin)🔮 trimming TSLA @ 24% @everyone"
2026-08-20,09:33:19,09:35:29,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 347.5P 8/21 @ 5.15,5.15,partial trim,,31.0,,,6.746500000000001,,caller-stated,"HoneyDrip (Scribe): [ 9:35 AM ] Thursday, August 20, 2026 at 9:35 AM @Unraveller (Admin)🔮 trimming TSLA @ 31% @everyone"
2026-08-20,09:33:19,09:38:49,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 347.5P 8/21 @ 5.15,5.15,partial trim,,35.0,,,6.952500000000001,,caller-stated,"HoneyDrip (Scribe): [ 9:38 AM ] Thursday, August 20, 2026 at 9:38 AM @Unraveller (Admin)🔮 trimming TSLA @ 35% @everyone"
2026-08-20,09:38:28,09:39:09,Summit Trading Strategies: 📌｜alert-room,TradeLikeGates,NFLX,NFLX 80C @ 1.28,1.28,full exit,,,,,,,caller exit; price unavailable,"TradeLikeGates: [ 9:39 AM ] Thursday, August 20, 2026 at 9:39 AM @here Closed $NFLX for now"
2026-08-20,09:33:19,09:40:44,Honey Drip Network 🍯💰📈: ☀️｜daytrades-scalps,Unraveller,TSLA,TSLA 347.5P 8/21 @ 5.15,5.15,partial trim,,42.0,,,7.313,,caller-stated,"HoneyDrip (Scribe): HoneyDrip (Scribe) ADMINS — 9:40 AM Thursday, August 20, 2026 at 9:40 AM @Unraveller (Admin)🔮 trimming TSLA @ 42% @everyone"
