day,time,room,caller,occ,symbol,side,strike,expiry,their_price,entry,entry_basis,scored,gap_before_exit,spread_at_entry,first_quote_lag_s,quotes,median_gap_s,max_gap_s,gaps_over_2min,last_quote,reaches_close,peak_bid,peak_bid_at,pullback_why,pullback_entry,pullback_pl_A,A_exit,A_pl,A_why,A_born_stop,A_stop_moves,A_held_s,B_exit,B_pl,B_why,B_born_stop,B_stop_moves,B_held_s,C_exit,C_pl,C_why,C_born_stop,C_stop_moves,C_held_s,D_exit,D_pl,D_why,D_born_stop,D_stop_moves,D_held_s
2026-09-14,10:41:15,Vero 2,Vero,QQQ260914P00705000,QQQ,PUTS,705.0,9/14,1.55,1.41,real fill,True,False,0.01,75.0,1253,1.1,8455.0,2,14:32:00,False,1.43,10:42:35,touched $705,1.39,14.0,1.34,-7.0,born stop,1.34,0,16.5,1.34,-7.0,born stop,1.34,0,16.5,1.34,-7.0,born stop,1.34,0,16.5,1.34,-7.0,born stop,1.34,0,16.5
2026-09-14,10:42:11,Mugzone Options,MuggZone,MU260916P00850000,MU,PUTS,850.0,9/16,2.1,2.1,real fill,True,False,0.07,2977.7,354,5.4,8455.0,1,14:32:00,False,1.32,11:32:11,not a round-number symbol (instant entry),,,1.17,-93.0,born stop,1.26,0,43.5,1.17,-93.0,born stop,1.26,0,43.5,1.17,-93.0,born stop,1.26,0,43.5,1.17,-93.0,born stop,1.26,0,43.5
2026-09-14,11:07:39,OWLS all-alerts,Eva,DRAM260918C00058000,DRAM,CALLS,58.0,9/18,,0.54,first ask,False,True,0.04,1450.1,354,5.4,8455.0,1,14:32:00,False,0.63,14:23:50,not a round-number symbol (instant entry),,,0.63,9.0,close,0.45,2,10811.1,0.63,9.0,close,0.45,0,10811.1,0.63,9.0,close,0.4,2,10811.1,0.63,9.0,close,0.4,0,10811.1
2026-09-14,11:12:30,OWLS all-alerts,MuggZone,MSFT260914C00505000,MSFT,CALLS,505.0,2026-09-14,0.85,0.65,real fill,True,False,0.01,196.4,935,1.1,8455.0,2,14:32:00,False,0.65,11:15:50,never touched $503 in 10 min,,,0.62,-3.0,born stop,0.62,0,12.5,0.62,-3.0,born stop,0.62,0,12.5,0.62,-3.0,born stop,0.62,0,12.5,0.62,-3.0,born stop,0.62,0,12.5
2026-09-14,11:21:01,shabs,Skyy,QQQ260914C00708000,QQQ,CALLS,708.0,2026-09-14,0.75,0.87,first ask,False,False,0.02,648.3,354,5.4,8455.0,1,14:32:00,False,1.44,11:32:38,never touched $706 in 10 min,,,1.3,43.0,ratchet rung,0.83,2,53.9,1.28,41.0,ratchet rung,0.83,3,102.7,1.3,43.0,ratchet rung,0.83,2,53.9,1.28,41.0,ratchet rung,0.83,3,102.7
2026-09-14,11:24:17,Honeydrip daytrades,Unraveller,META260918C00670000,META,CALLS,670.0,9/18,6.5,6.65,real fill,True,False,0.1,84.0,682,5.4,8455.0,1,14:32:00,False,6.75,11:27:07,never touched $656 in 10 min,,,6.3,-35.0,born stop,6.3,0,259.2,6.3,-35.0,born stop,6.3,0,259.2,6.3,-35.0,born stop,6.3,0,259.2,6.3,-35.0,born stop,6.3,0,259.2
2026-09-14,11:28:00,Midas,Midas (Admin),SPY260914P00760000,SPY,PUTS,760.0,9/14,760.4,1.17,first ask,False,False,0.01,229.2,353,5.4,8455.0,1,14:32:00,False,1.16,11:31:49,touched $760,0.89,-9.0,0.88,-29.0,born stop,1.11,0,48.5,0.88,-29.0,born stop,1.11,0,48.5,0.88,-29.0,born stop,1.11,0,48.5,0.88,-29.0,born stop,1.11,0,48.5
2026-09-14,11:52:49,Mugzone Options,MuggZone,TSLA260925P00340000,TSLA,PUTS,340.0,9/25,2.4,2.38,real fill,True,False,0.04,608.4,30486,1.1,61.2,0,21:05:22,True,2.55,12:14:45,touched $364,2.39,0.0,2.37,-1.0,first lock,2.26,1,892.7,2.71,33.0,ratchet rung,2.26,13,13624.0,2.37,-1.0,first lock,2.26,1,892.7,2.71,33.0,ratchet rung,2.26,13,13624.0
2026-09-14,12:13:22,Demon day-trades,Demon × LKS,WMT260918C00110000,WMT,CALLS,110.0,9/18,0.96,0.98,first ask,False,False,0.02,7827.1,9,61.4,61.5,0,14:32:00,False,0.99,14:28:56,not a round-number symbol (instant entry),,,0.96,-2.0,close,0.93,0,490.7,0.96,-2.0,close,0.93,0,490.7,0.96,-2.0,close,0.93,0,490.7,0.96,-2.0,close,0.93,0,490.7
2026-09-14,12:26:44,OWLS all-alerts,TT,GOOGL261016C00360000,GOOGL,CALLS,360.0,10/16,7.2,7.8,first ask,False,False,0.4,7025.2,9,61.4,61.5,0,14:32:00,False,7.4,14:23:50,never touched $346 in 10 min,,,7.35,-45.0,born stop,7.35,0,61.5,7.35,-45.0,born stop,7.35,0,61.5,7.55,-25.0,close,7.0,0,490.7,7.55,-25.0,close,7.0,0,490.7
2026-09-14,12:46:27,OWLS all-alerts,AbTrades,AMZN261120C00300000,AMZN,CALLS,300.0,11/20,3.97,3.9,first ask,False,False,0.1,5842.4,9,61.4,61.5,0,14:32:00,False,3.8,14:23:50,never touched $253 in 10 min,,,3.75,-15.0,close,3.7,0,490.7,3.75,-15.0,close,3.7,0,490.7,3.75,-15.0,close,3.7,0,490.7,3.75,-15.0,close,3.7,0,490.7
2026-09-14,13:18:01,Midas,Midas (Admin),SPY260914P00762000,SPY,PUTS,762.0,0DTE,1.25,0.5,first ask,False,False,0.01,3948.6,9,61.4,61.5,0,14:32:00,False,0.49,14:23:50,never touched $763 in 10 min,,,0.47,-3.0,born stop,0.48,0,61.5,0.47,-3.0,born stop,0.48,0,61.5,0.47,-3.0,born stop,0.47,0,61.5,0.47,-3.0,born stop,0.47,0,61.5
2026-09-14,13:41:30,OWLS all-alerts,MuggZone,AMZN260918C00260000,AMZN,CALLS,260.0,9/18,1.8,1.7,first ask,False,False,0.06,2539.2,9,61.4,61.5,0,14:32:00,False,1.64,14:23:50,never touched $255 in 10 min,,,1.61,-9.0,born stop,1.62,0,123.0,1.61,-9.0,born stop,1.62,0,123.0,1.61,-9.0,close,1.58,0,490.7,1.61,-9.0,close,1.58,0,490.7
2026-09-14,13:53:51,Brando Alerts,EliteOptions | Brando,QQQ260917C00715000,QQQ,CALLS,715.0,9/17,4.04,3.67,first ask,False,False,0.03,1798.6,9,61.4,61.5,0,14:32:00,False,3.7,14:26:54,never touched $712 in 10 min,,,3.67,0.0,close,3.49,0,490.7,3.67,0.0,close,3.49,0,490.7,3.67,0.0,close,3.49,0,490.7,3.67,0.0,close,3.49,0,490.7
2026-09-14,14:05:00,Aristotle,👑KingBeeAri🐝,META260918C00700000,META,CALLS,700.0,9/18,2.68,2.61,real fill,True,True,0.04,11.2,378,1.1,316.3,2,14:32:00,False,2.85,14:08:27,touched $667,2.64,-19.0,2.68,7.0,ratchet rung,2.48,3,229.1,2.45,-16.0,born stop,2.48,0,545.4,2.68,7.0,ratchet rung,2.48,3,229.1,2.45,-16.0,born stop,2.48,0,545.4
2026-09-14,14:14:15,shabs,Skyy,QQQ260914C00713000,QQQ,CALLS,713.0,2026-09-14,0.4,0.24,real fill,True,False,0.01,54.0,357,1.1,61.5,0,15:59:10,True,0.24,14:24:22,touched $712,0.23,-1.0,0.21,-3.0,born stop,0.21,0,295.4,0.21,-3.0,born stop,0.21,0,295.4,0.21,-3.0,born stop,0.21,0,295.4,0.21,-3.0,born stop,0.21,0,295.4
2026-09-14,14:20:25,Mugzone Options,MuggZone,TSLA260914P00360000,TSLA,PUTS,360.0,0DTE,,0.38,first ask,True,False,0.01,51.1,97,61.2,61.6,0,15:59:10,True,0.37,14:21:16,never touched $362 in 10 min,,,0.35,-3.0,born stop,0.36,0,122.3,0.35,-3.0,born stop,0.36,0,122.3,0.35,-3.0,born stop,0.35,0,122.3,0.35,-3.0,born stop,0.35,0,122.3
2026-09-14,15:12:43,OWLS all-alerts,AbTrades,AFRM261016C00080000,AFRM,CALLS,80.0,10/16,2.02,2.11,first ask,True,False,0.04,33.9,46,61.2,61.5,0,15:59:10,True,2.19,15:57:07,not a round-number symbol (instant entry),,,2.19,8.0,close,2.0,2,2691.0,2.19,8.0,close,2.0,0,2691.0,2.19,8.0,close,1.95,2,2691.0,2.19,8.0,close,1.95,0,2691.0
