day,time,room,caller,occ,symbol,side,source,touch_level,pb_entry,pb_entry_basis,pb_option_lag_s,take_entry,take_entry_basis,stock_best_favor,option_max_bid,take_A_pl,S1_exit,S1_pl,S1_why,S1_lag_s,S1_tape_ended_first,S1b_exit,S1b_pl,S1b_why,S1b_lag_s,S1b_tape_ended_first,S2_exit,S2_pl,S2_why,S2_lag_s,S2_tape_ended_first,S3_exit,S3_pl,S3_why,S3_lag_s,S3_tape_ended_first,P0_exit,P0_pl,P0_why,P0_lag_s,P0_tape_ended_first,A_exit,A_pl,A_why,A_lag_s,A_tape_ended_first,H_exit,H_pl,H_why,H_lag_s,H_tape_ended_first
2026-08-18,11:06:00,Whop Day Trades,JpmInvestments,SPY260818C00769000,SPY,CALLS,OPRA 1s,768.0,0.59,ask at the touch,1.0,0.58,real fill,0.1,0.61,0.0,0.52,-7.0,stop,0.0,False,0.52,-7.0,stop,0.0,False,0.49,-10.0,stop,0.0,False,0.42,-17.0,stop,0.0,False,0.52,-7.0,stop,0.0,False,0.59,0.0,BE,0.0,False,0.59,0.0,BE,0.0,False
2026-08-18,11:59:00,Option Alerts,,TSLA260819C00350000,TSLA,CALLS,OPRA 1s,339.0,0.62,ask at the touch,31.0,,first ask,0.52,0.67,,0.5,-12.0,stop,0.0,False,0.5,-12.0,stop,0.0,False,0.44,-18.0,stop,,True,0.44,-18.0,stop,,True,0.5,-12.0,stop,0.0,False,0.59,-3.0,stop,0.0,False,0.61,-1.0,BE,0.0,False
2026-08-18,12:04:00,Option Alerts,,TSLA260819C00350000,TSLA,CALLS,OPRA 1s,339.0,0.62,ask at the touch,31.0,,first ask,0.52,0.67,,0.5,-12.0,stop,0.0,False,0.5,-12.0,stop,0.0,False,0.44,-18.0,stop,,True,0.44,-18.0,stop,,True,0.5,-12.0,stop,0.0,False,0.59,-3.0,stop,0.0,False,0.61,-1.0,BE,0.0,False
2026-08-18,15:48:00,Option Alerts,TradingTheTrend,TSLA260918P00300000,TSLA,PUTS,OPRA 1s,337.0,3.21,real fill at the touch,5.0,,real fill,0.43,3.2,,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False,3.2,-1.0,close,0.0,False
2026-08-19,09:38:00,Honeydrip daytrades,Unraveller,GOOGL260821C00345000,GOOGL,CALLS,OPRA 1s,343.0,2.72,real fill at the touch,17.0,2.72,real fill,0.33,2.73,-27.0,2.23,-49.0,stop,0.0,False,2.23,-49.0,stop,0.0,False,2.07,-65.0,stop,0.0,False,1.89,-83.0,stop,0.0,False,2.23,-49.0,stop,0.0,False,2.45,-27.0,stop,0.0,False,2.23,-49.0,stop,0.0,False
2026-08-19,09:40:00,ZT opt-1,stockguy007,AAPL260918C00330000,AAPL,CALLS,OPRA 1s,312.0,2.83,real fill at the touch,21.0,2.83,real fill,5.81,4.05,-14.0,3.95,112.0,rung,,True,3.95,112.0,rung,,True,3.95,112.0,rung,,True,3.95,112.0,rung,,True,3.35,52.0,target,0.0,False,2.69,-14.0,stop,0.0,False,3.5,67.0,rung,0.0,False
2026-08-19,09:41:00,Vero 2,Vero,QQQ260819P00716000,QQQ,PUTS,OPRA 1s,718.0,1.32,ask at the touch,125.0,1.32,first ask,0.015,4.01,-7.0,1.31,-1.0,stop,120.0,False,1.31,-1.0,stop,120.0,False,1.31,-1.0,stop,120.0,False,1.31,-1.0,rung,51.0,False,1.31,-1.0,stop,120.0,False,1.25,-7.0,stop,0.0,False,1.31,-1.0,stop,120.0,False
2026-08-19,09:50:00,Honeydrip daytrades,Unraveller,MSFT260821C00480000,MSFT,CALLS,OPRA 1s,481.0,5.2,real fill at the touch,55.0,5.2,real fill,1.32,5.95,-40.0,4.75,-45.0,BE,0.0,False,4.75,-45.0,BE,0.0,False,5.5,30.0,rung,,True,5.5,30.0,rung,,True,5.85,65.0,target,0.0,False,4.8,-40.0,stop,0.0,False,5.15,-5.0,BE,0.0,False
2026-08-19,10:00:00,Honeydrip daytrades,Unraveller,GOOGL260821C00342500,GOOGL,CALLS,OPRA 1s,342.0,3.3,real fill at the touch,5.0,3.3,real fill,3.0,4.7,0.0,4.2,90.0,rung,0.0,False,4.35,105.0,rung,0.0,False,3.8,50.0,rung,0.0,False,4.0,70.0,rung,,True,4.5,120.0,target,0.0,False,3.3,0.0,BE,0.0,False,3.3,0.0,BE,0.0,False
2026-08-19,10:21:00,ZT top-flow,Bullwinkle,TSLA260821C00360000,TSLA,CALLS,OPRA 1s,339.0,0.48,real fill at the touch,0.0,0.48,real fill,4.43,0.56,4.0,0.56,8.0,rung,,True,0.56,8.0,rung,,True,0.56,8.0,rung,,True,0.56,8.0,rung,,True,0.56,8.0,target,,True,0.48,0.0,BE,0.0,False,0.48,0.0,BE,0.0,False
2026-08-19,10:33:00,ZT top-flow,Unraveller,TSLA260821P00340000,TSLA,PUTS,OPRA 1s,342.0,3.98,real fill at the touch,2.0,3.98,real fill,0.72,4.2,-18.0,3.55,-43.0,stop,0.0,False,3.55,-43.0,stop,0.0,False,3.4,-58.0,stop,0.0,False,3.2,-78.0,stop,0.0,False,3.55,-43.0,stop,0.0,False,3.8,-18.0,stop,0.0,False,3.95,-3.0,BE,0.0,False
2026-08-19,10:45:00,ZT top-flow,Unraveller,TSLA260821P00345000,TSLA,PUTS,OPRA 1s,347.0,4.1,ask at the touch,4.0,4.1,first ask,1.22,4.65,0.0,4.35,25.0,BE,0.0,False,4.35,25.0,BE,0.0,False,3.65,-45.0,stop,0.0,False,3.95,-15.0,stop,,True,3.85,-25.0,stop,0.0,False,4.1,0.0,BE,0.0,False,4.1,0.0,BE,0.0,False
2026-08-19,11:21:00,ZT top-flow,Bullwinkle,TSLA260821C00352500,TSLA,CALLS,OPRA 1s,347.0,3.05,ask at the touch,0.1,,first ask,1.15,3.15,,3.05,0.0,BE,,True,3.05,0.0,BE,,True,3.05,0.0,rung,,True,3.05,0.0,BE,,True,3.05,0.0,stop,,True,3.05,0.0,BE,0.0,False,3.05,0.0,BE,0.0,False
2026-08-20,10:17:00,,,AAPL260821P00315000,AAPL,PUTS,OPRA 1s,317.0,1.44,ask at the touch,0.0,1.44,first ask,1.0,1.67,13.0,1.48,4.0,BE,,True,1.48,4.0,BE,,True,1.48,4.0,close,0.0,False,1.48,4.0,close,0.0,False,1.48,4.0,target,,True,1.57,13.0,rung,0.0,False,1.57,13.0,rung,0.0,False
2026-08-24,09:44:00,ZT scalps,Bullwinkle,NVDA260828C00207500,NVDA,CALLS,OPRA 1s,210.0,7.8,ask at the touch,45.0,7.8,real fill,0.23,7.8,-55.0,7.15,-65.0,stop,0.0,False,7.15,-65.0,stop,0.0,False,7.2,-60.0,stop,,True,7.2,-60.0,stop,,True,7.15,-65.0,stop,0.0,False,7.25,-55.0,stop,0.0,False,7.15,-65.0,stop,0.0,False
2026-08-24,09:46:00,Honeydrip daytrades,Unraveller,MSFT260828P00487500,MSFT,PUTS,OPRA 1s,485.0,7.85,ask at the touch,6.0,7.85,first ask,1.09,7.7,-65.0,7.3,-55.0,BE,1.0,False,7.3,-55.0,BE,1.0,False,6.55,-130.0,stop,0.0,False,6.3,-155.0,stop,0.0,False,6.8,-105.0,stop,0.0,False,7.2,-65.0,stop,0.0,False,6.8,-105.0,stop,0.0,False
2026-08-24,10:59:00,Demon Alerts,Demon Alerts,TSLA260824C00357500,TSLA,CALLS,OPRA 1s,358.0,2.17,real fill at the touch,8.0,2.17,real fill,0.7,2.45,-11.0,1.6,-57.0,stop,0.0,False,1.6,-57.0,stop,0.0,False,1.56,-61.0,stop,,True,1.56,-61.0,stop,,True,1.6,-57.0,stop,0.0,False,2.06,-11.0,stop,0.0,False,2.27,10.0,rung,0.0,False
2026-08-24,11:40:00,Demon Alerts,,TSLA260828P00357500,TSLA,PUTS,OPRA 1s,357.0,7.0,ask at the touch,2.0,7.0,first ask,0.27,7.25,-35.0,6.45,-55.0,stop,0.0,False,6.45,-55.0,stop,0.0,False,7.15,15.0,BE,,True,7.15,15.0,rung,,True,6.45,-55.0,stop,0.0,False,6.65,-35.0,stop,0.0,False,6.45,-55.0,stop,0.0,False
2026-08-24,12:04:00,MR.TOPHAT,TradingTheTrend,SPY260831C00765000,SPY,CALLS,OPRA 1s,765.0,4.98,ask at the touch,131.8,,first ask,0.0,5.23,,4.96,-2.0,stop,71.8,False,4.96,-2.0,stop,71.8,False,4.96,-2.0,stop,21.8,False,4.89,-9.0,stop,0.0,False,4.96,-2.0,stop,71.8,False,4.98,0.0,BE,0.0,False,4.96,-2.0,stop,71.8,False
2026-08-25,09:39:00,Honeydrip daytrades,Unraveller,MSFT260828P00485000,MSFT,PUTS,OPRA 1s,488.0,4.7,ask at the touch,0.0,5.25,real fill,0.56,4.6,-100.0,3.9,-80.0,stop,,True,3.9,-80.0,stop,,True,3.9,-80.0,stop,,True,3.9,-80.0,stop,,True,3.9,-80.0,stop,,True,3.8,-90.0,stop,0.0,False,3.9,-80.0,stop,,True
2026-08-25,11:38:00,Honeydrip daytrades,Brett,TSLA260828P00352500,TSLA,PUTS,OPRA 1s,353.0,5.85,real fill at the touch,39.0,5.85,real fill,1.65,6.5,25.0,5.95,10.0,rung,0.0,False,5.9,5.0,rung,0.0,False,5.85,0.0,BE,,True,5.85,0.0,stop,,True,5.85,0.0,stop,,True,6.1,25.0,rung,0.0,False,6.1,25.0,rung,0.0,False
2026-08-26,09:47:00,ZT top-flow,Bullwinkle,TSLA260828P00350000,TSLA,PUTS,OPRA 1s,351.0,5.15,ask at the touch,6.0,5.15,real fill,4.48,7.2,-25.0,6.45,130.0,rung,0.0,False,6.45,130.0,rung,0.0,False,6.15,100.0,rung,0.0,False,6.15,100.0,rung,0.0,False,6.05,90.0,target,0.0,False,4.9,-25.0,stop,0.0,False,6.15,100.0,rung,0.0,False
2026-09-01,12:13:00,ZT all-trades-mashup,ZTRADEZ BOT,SPY260901C00764000,SPY,CALLS,OPRA 1s,763.0,0.42,ask at the touch,0.0,0.73,real fill,0.03,0.73,-4.0,0.39,-3.0,stop,0.0,False,0.39,-3.0,stop,0.0,False,0.36,-6.0,stop,0.0,False,0.34,-8.0,stop,0.0,False,0.39,-3.0,stop,0.0,False,0.4,-2.0,stop,0.0,False,0.39,-3.0,stop,0.0,False
2026-09-01,12:17:00,ZT all-trades-mashup,ZTRADEZ BOT,SPY260901C00764000,SPY,CALLS,OPRA 1s,763.0,0.42,ask at the touch,0.0,0.73,real fill,0.03,0.56,-19.0,0.39,-3.0,stop,0.0,False,0.39,-3.0,stop,0.0,False,0.36,-6.0,stop,0.0,False,0.34,-8.0,stop,0.0,False,0.39,-3.0,stop,0.0,False,0.4,-2.0,stop,0.0,False,0.39,-3.0,stop,0.0,False
2026-09-02,11:43:00,Midas,Midas (Admin),SPY260903C00766000,SPY,CALLS,OPRA 1s,765.0,1.73,ask at the touch,0.0,2.09,first ask,0.59,2.12,-11.0,1.86,13.0,rung,0.0,False,1.86,13.0,rung,0.0,False,1.88,15.0,rung,,True,1.88,15.0,rung,,True,1.94,21.0,target,0.0,False,1.73,0.0,BE,0.0,False,1.73,0.0,BE,0.0,False
2026-09-08,09:36:08,Honeydrip daytrades,Mike,AMD260911C00510000,AMD,CALLS,OPRA 1s,493.0,5.7,ask at the touch,0.0,6.05,first ask,0.73,6.8,30.0,5.2,-50.0,stop,0.0,False,5.2,-50.0,stop,0.0,False,5.2,-50.0,stop,0.0,False,5.2,-50.0,stop,0.0,False,5.2,-50.0,stop,0.0,False,5.4,-30.0,stop,0.0,False,5.2,-50.0,stop,0.0,False
2026-09-08,09:54:33,Platinum nitro,@Owner Alerts,QQQ260908P00717000,QQQ,PUTS,OPRA 1s,717.0,1.64,ask at the touch,0.0,1.57,real fill,0.19,2.33,8.0,1.51,-13.0,stop,0.0,False,1.51,-13.0,stop,0.0,False,1.47,-17.0,stop,0.0,False,1.43,-21.0,stop,0.0,False,1.51,-13.0,stop,0.0,False,1.63,-1.0,BE,0.0,False,1.63,-1.0,BE,0.0,False
2026-09-08,10:03:38,Platinum nitro,,QQQ260908P00717000,QQQ,PUTS,OPRA 1s,717.0,1.57,real fill at the touch,0.0,1.57,real fill,0.51,2.33,0.0,1.62,5.0,rung,0.0,False,1.62,5.0,rung,0.0,False,1.62,5.0,rung,0.0,False,1.52,-5.0,BE,0.0,False,1.79,22.0,target,0.0,False,1.56,-1.0,BE,0.0,False,1.56,-1.0,BE,0.0,False
2026-09-08,10:07:04,Platinum nitro,@Owner Alerts,TSLA260911C00372500,TSLA,CALLS,OPRA 1s,362.0,3.25,real fill at the touch,0.0,3.25,real fill,0.62,3.3,-15.0,2.78,-47.0,stop,0.0,False,2.78,-47.0,stop,0.0,False,2.65,-60.0,stop,0.0,False,2.77,-48.0,rung,,True,2.78,-47.0,stop,0.0,False,3.1,-15.0,stop,0.0,False,2.78,-47.0,stop,0.0,False
2026-09-08,10:15:47,Vero 1,Vero,QQQ260908P00716000,QQQ,PUTS,OPRA 1s,717.0,1.11,ask at the touch,0.0,1.07,first ask,0.54,1.28,-2.0,1.1,-1.0,rung,0.0,False,1.1,-1.0,rung,0.0,False,1.1,-1.0,rung,0.0,False,1.02,-9.0,BE,0.0,False,1.22,11.0,target,0.0,False,1.0,-11.0,stop,0.0,False,1.1,-1.0,BE,0.0,False
2026-09-08,10:35:01,Vero 1,Vero,SPY260908P00767000,SPY,PUTS,OPRA 1s,767.0,0.98,real fill at the touch,0.0,0.98,real fill,0.36,1.14,0.0,0.96,-2.0,BE,0.0,False,0.96,-2.0,BE,0.0,False,0.96,-2.0,BE,0.0,False,0.98,0.0,stop,,True,0.98,0.0,stop,,True,1.0,2.0,rung,0.0,False,1.0,2.0,rung,0.0,False
2026-09-11,10:25:30,Platinum nitro,Nitro Trades,TSLA260911P00362500,TSLA,PUTS,Webull sweep,364.0,1.41,ask at the touch,3.8,1.82,first ask,0.05,1.88,-7.0,1.05,-36.0,stop,2.3,False,1.05,-36.0,stop,2.3,False,0.94,-47.0,stop,1.5,False,0.79,-62.0,stop,0.8,False,1.05,-36.0,stop,2.3,False,1.28,-13.0,stop,0.0,False,1.05,-36.0,stop,2.3,False
