Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
KO260821C00089000,KO260821C00089000,Sell,Cancelled,0,1,@0.600,,DAY,08/18/2026 12:23:50 EDT,
KO260821C00089000,KO260821C00089000,Sell,Cancelled,0,1,@0.450,,GTC,08/18/2026 12:22:03 EDT,
TSLA260819C00350000,TSLA260819C00350000,Sell,Filled,1,1,0.5900000000,0.5900000000,DAY,08/18/2026 12:08:56 EDT,08/18/2026 12:08:57 EDT
TSLA260819C00350000,TSLA260819C00350000,Buy,Filled,1,1,0.6100000000,0.6100000000,DAY,08/18/2026 12:08:11 EDT,08/18/2026 12:08:12 EDT
KO260821C00089000,KO260821C00089000,Sell,Cancelled,0,1,@0.400,,GTC,08/18/2026 12:03:03 EDT,
KO260821C00089000,KO260821C00089000,Buy,Filled,1,1,@0.5400000000,0.5400000000,DAY,08/18/2026 12:01:29 EDT,08/18/2026 12:01:29 EDT
QQQ260818P00716000,QQQ260818P00716000,Sell,Filled,2,2,1.2200000000,1.2200000000,DAY,08/18/2026 11:20:43 EDT,08/18/2026 11:20:43 EDT
QQQ260818P00716000,QQQ260818P00716000,Buy,Filled,2,2,1.1600000000,1.1600000000,DAY,08/18/2026 11:18:05 EDT,08/18/2026 11:18:05 EDT
QQQ260818P00716000,QQQ260818P00716000,Sell,Filled,2,2,1.0600000000,1.0600000000,DAY,08/18/2026 11:16:22 EDT,08/18/2026 11:16:22 EDT
QQQ260818P00716000,QQQ260818P00716000,Buy,Filled,2,2,1.1300000000,1.1300000000,DAY,08/18/2026 11:15:58 EDT,08/18/2026 11:15:58 EDT
SPY260818C00769000,SPY260818C00769000,Sell,Filled,1,1,0.5200000000,0.5200000000,DAY,08/18/2026 11:09:56 EDT,08/18/2026 11:09:56 EDT
SPY260818C00769000,SPY260818C00769000,Sell,Cancelled,0,1,@0.400,,GTC,08/18/2026 11:09:42 EDT,
SPY260818C00769000,SPY260818C00769000,Buy,Filled,1,1,@0.5800000000,0.5800000000,DAY,08/18/2026 11:08:10 EDT,08/18/2026 11:08:10 EDT
QQQ260818P00715000,QQQ260818P00715000,Sell,Filled,3,3,0.7600000000,0.7600000000,DAY,08/18/2026 11:05:02 EDT,08/18/2026 11:05:02 EDT
QQQ260818P00715000,QQQ260818P00715000,Buy,Filled,3,3,0.9000000000,0.9000000000,DAY,08/18/2026 11:04:12 EDT,08/18/2026 11:04:12 EDT
MSFT260821C00485000,MSFT260821C00485000,Sell,Filled,1,1,@2.9500000000,2.9500000000,DAY,08/18/2026 10:54:14 EDT,08/18/2026 10:56:53 EDT
MSFT260821C00485000,MSFT260821C00485000,Sell,Cancelled,0,1,@2.55,,GTC,08/18/2026 10:53:37 EDT,
MSFT260821C00485000,MSFT260821C00485000,Buy,Filled,1,1,@3.2000000000,3.2000000000,DAY,08/18/2026 10:52:05 EDT,08/18/2026 10:52:05 EDT
QQQ260818C00721000,QQQ260818C00721000,Sell,Filled,5,5,0.4400000000,0.4400000000,DAY,08/18/2026 10:52:04 EDT,08/18/2026 10:52:04 EDT
QQQ260818C00721000,QQQ260818C00721000,Buy,Filled,5,5,0.5100000000,0.5100000000,DAY,08/18/2026 10:51:21 EDT,08/18/2026 10:51:22 EDT
QQQ260818C00722000,QQQ260818C00722000,Sell,Filled,9,9,0.4000000000,0.4000000000,DAY,08/18/2026 10:42:57 EDT,08/18/2026 10:42:57 EDT
QQQ260818C00722000,QQQ260818C00722000,Buy,Filled,9,9,0.4400000000,0.4400000000,DAY,08/18/2026 10:42:39 EDT,08/18/2026 10:42:39 EDT
QQQ260818C00723000,QQQ260818C00723000,Sell,Filled,16,16,0.2500000000,0.2500000000,DAY,08/18/2026 10:42:21 EDT,08/18/2026 10:42:21 EDT
QQQ260818C00723000,QQQ260818C00723000,Buy,Filled,5,5,0.3400000000,0.3400000000,DAY,08/18/2026 10:40:58 EDT,08/18/2026 10:40:58 EDT
QQQ260818C00723000,QQQ260818C00723000,Buy,Filled,11,11,0.3300000000,0.3300000000,DAY,08/18/2026 10:39:30 EDT,08/18/2026 10:39:30 EDT
QQQ260818C00721000,QQQ260818C00721000,Sell,Filled,4,4,0.8700000000,0.8700000000,DAY,08/18/2026 10:39:03 EDT,08/18/2026 10:39:03 EDT
QQQ260818C00721000,QQQ260818C00721000,Buy,Filled,4,4,1.0600000000,1.0600000000,DAY,08/18/2026 10:36:56 EDT,08/18/2026 10:36:56 EDT
QQQ260818P00719000,QQQ260818P00719000,Sell,Filled,4,4,1.2500000000,1.2500000000,DAY,08/18/2026 10:35:26 EDT,08/18/2026 10:35:26 EDT
QQQ260818P00719000,QQQ260818P00719000,Buy,Filled,4,4,1.3500000000,1.3500000000,DAY,08/18/2026 10:31:16 EDT,08/18/2026 10:31:16 EDT
SPY260818P00767000,SPY260818P00767000,Sell,Filled,9,9,0.4444444444,0.4444444444,DAY,08/18/2026 10:30:46 EDT,08/18/2026 10:30:46 EDT
QQQ260818P00717000,QQQ260818P00717000,Sell,Filled,2,2,@0.7000000000,0.7000000000,GTC,08/18/2026 10:28:54 EDT,08/18/2026 10:30:03 EDT
QQQ260818P00717000,QQQ260818P00717000,Buy,Filled,2,2,0.7700000000,0.7700000000,DAY,08/18/2026 10:28:19 EDT,08/18/2026 10:28:19 EDT
SPY260818P00767000,SPY260818P00767000,Buy,Filled,9,9,0.5100000000,0.5100000000,DAY,08/18/2026 10:27:15 EDT,08/18/2026 10:27:16 EDT
SPY260818P00767000,SPY260818P00767000,Sell,Filled,7,7,0.4985714286,0.4985714286,DAY,08/18/2026 10:26:47 EDT,08/18/2026 10:26:47 EDT
SPY260818P00767000,SPY260818P00767000,Buy,Filled,7,7,0.5400000000,0.5400000000,DAY,08/18/2026 10:26:26 EDT,08/18/2026 10:26:26 EDT
QQQ260818P00717000,QQQ260818P00717000,Sell,Filled,5,5,0.9800000000,0.9800000000,DAY,08/18/2026 10:24:29 EDT,08/18/2026 10:24:29 EDT
QQQ260818P00717000,QQQ260818P00717000,Buy,Filled,5,5,1.0300000000,1.0300000000,DAY,08/18/2026 10:21:09 EDT,08/18/2026 10:21:09 EDT
QQQ260818P00716000,QQQ260818P00716000,Sell,Filled,5,5,0.7700000000,0.7700000000,DAY,08/18/2026 10:19:05 EDT,08/18/2026 10:19:05 EDT
QQQ260818P00718000,QQQ260818P00718000,Sell,Filled,1,1,@1.2800000000,1.2800000000,GTC,08/18/2026 10:19:04 EDT,08/18/2026 10:21:01 EDT
SPY260825P00760000,SPY260825P00760000,Sell,Filled,1,1,@1.7000000000,1.7000000000,DAY,08/18/2026 10:18:48 EDT,08/18/2026 10:20:02 EDT
QQQ260818P00718000,QQQ260818P00718000,Buy,Filled,1,1,@1.5900000000,1.5900000000,DAY,08/18/2026 10:17:32 EDT,08/18/2026 10:17:32 EDT
QQQ260818P00716000,QQQ260818P00716000,Buy,Filled,5,5,0.9000000000,0.9000000000,DAY,08/18/2026 10:17:27 EDT,08/18/2026 10:17:27 EDT
SPY260825P00760000,SPY260825P00760000,Sell,Cancelled,0,1,@1.50,,GTC,08/18/2026 10:16:11 EDT,
QQQ260818C00720000,QQQ260818C00720000,Sell,Filled,4,4,0.8000000000,0.8000000000,DAY,08/18/2026 10:15:17 EDT,08/18/2026 10:15:17 EDT
QQQ260818C00719000,QQQ260818C00719000,Sell,Filled,3,3,1.1200000000,1.1200000000,DAY,08/18/2026 10:15:13 EDT,08/18/2026 10:15:14 EDT
QQQ260818C00720000,QQQ260818C00720000,Buy,Filled,4,4,0.8300000000,0.8300000000,DAY,08/18/2026 10:14:56 EDT,08/18/2026 10:14:56 EDT
SPY260825P00760000,SPY260825P00760000,Buy,Filled,1,1,@1.8700000000,1.8700000000,DAY,08/18/2026 10:14:37 EDT,08/18/2026 10:14:37 EDT
QQQ260818C00719000,QQQ260818C00719000,Buy,Filled,3,3,1.2000000000,1.2000000000,DAY,08/18/2026 10:13:57 EDT,08/18/2026 10:13:57 EDT
SPY260819P00769000,SPY260819P00769000,Buy,Cancelled,0,1,@2.40,,DAY,08/18/2026 10:11:28 EDT,
AAPL260821C00315000,AAPL260821C00315000,Sell,Filled,2,2,1.2600000000,1.2600000000,DAY,08/18/2026 10:11:06 EDT,08/18/2026 10:11:06 EDT
DOCU260821C00065000,DOCU260821C00065000,Sell,Filled,1,1,@0.3400000000,0.3400000000,GTC,08/18/2026 10:08:48 EDT,08/18/2026 10:10:36 EDT
QQQ260818C00721000,QQQ260818C00721000,Sell,Filled,3,3,0.9700000000,0.9700000000,DAY,08/18/2026 10:08:08 EDT,08/18/2026 10:08:08 EDT
DOCU260821C00065000,DOCU260821C00065000,Buy,Filled,1,1,@0.4000000000,0.4000000000,DAY,08/18/2026 10:07:15 EDT,08/18/2026 10:07:55 EDT
QQQ260818C00721000,QQQ260818C00721000,Buy,Filled,3,3,0.9800000000,0.9800000000,DAY,08/18/2026 10:07:11 EDT,08/18/2026 10:07:11 EDT
QQQ260818P00720000,QQQ260818P00720000,Sell,Filled,3,3,2.2800000000,2.2800000000,DAY,08/18/2026 10:06:03 EDT,08/18/2026 10:06:04 EDT
AAPL260821C00315000,AAPL260821C00315000,Buy,Filled,1,1,@1.0800000000,1.0800000000,DAY,08/18/2026 10:05:16 EDT,08/18/2026 10:05:16 EDT
AAPL260821C00315000,AAPL260821C00315000,Buy,Filled,1,1,@1.0700000000,1.0700000000,DAY,08/18/2026 10:05:14 EDT,08/18/2026 10:05:15 EDT
QQQ260818P00720000,QQQ260818P00720000,Buy,Filled,3,3,1.8600000000,1.8600000000,DAY,08/18/2026 10:04:58 EDT,08/18/2026 10:04:59 EDT
INTC260819P00097000,INTC260819P00097000,Sell,Filled,1,1,@1.9000000000,1.9000000000,DAY,08/18/2026 10:01:44 EDT,08/18/2026 10:01:45 EDT
INTC260819P00097000,INTC260819P00097000,Sell,Cancelled,0,1,@1.25,,GTC,08/18/2026 10:01:03 EDT,
INTC260819P00097000,INTC260819P00097000,Buy,Filled,1,1,@1.5500000000,1.5500000000,DAY,08/18/2026 09:59:31 EDT,08/18/2026 09:59:31 EDT
SPY260819P00769000,SPY260819P00769000,Sell,Filled,1,1,@2.2000000000,2.2000000000,DAY,08/18/2026 09:57:08 EDT,08/18/2026 09:57:08 EDT
SPY260818P00766000,SPY260818P00766000,Sell,Filled,1,1,@0.4000000000,0.4000000000,DAY,08/18/2026 09:56:55 EDT,08/18/2026 09:56:56 EDT
AMZN260819P00257500,AMZN260819P00257500,Sell,Filled,1,1,@1.6500000000,1.6500000000,DAY,08/18/2026 09:55:46 EDT,08/18/2026 09:55:58 EDT
MSFT260821C00485000,MSFT260821C00485000,Sell,Filled,1,1,@3.1100000000,3.1100000000,GTC,08/18/2026 09:55:27 EDT,08/18/2026 09:56:33 EDT
AMZN260819P00257500,AMZN260819P00257500,Sell,Cancelled,0,1,@1.15,,GTC,08/18/2026 09:55:13 EDT,
MSFT260821C00485000,MSFT260821C00485000,Buy,Filled,1,1,@3.4000000000,3.4000000000,DAY,08/18/2026 09:53:56 EDT,08/18/2026 09:55:26 EDT
AMZN260819P00257500,AMZN260819P00257500,Buy,Filled,1,1,@1.4500000000,1.4500000000,DAY,08/18/2026 09:53:40 EDT,08/18/2026 09:53:42 EDT
SPY260819P00769000,SPY260819P00769000,Sell,Cancelled,0,1,@1.90,,GTC,08/18/2026 09:52:02 EDT,
SPXW260818P07680000,SPXW260818P07680000,Sell,Filled,1,1,@4.3000000000,4.3000000000,GTC,08/18/2026 09:51:30 EDT,08/18/2026 09:52:03 EDT
SPY260818P00766000,SPY260818P00766000,Sell,Cancelled,0,1,@0.350,,GTC,08/18/2026 09:51:27 EDT,
SPXW260818P07680000,SPXW260818P07680000,Buy,Filled,1,1,4.8000000000,4.8000000000,DAY,08/18/2026 09:51:21 EDT,08/18/2026 09:51:21 EDT
QQQ260818P00718000,QQQ260818P00718000,Sell,Filled,3,3,1.1700000000,1.1700000000,DAY,08/18/2026 09:50:48 EDT,08/18/2026 09:50:48 EDT
SPY260819P00769000,SPY260819P00769000,Buy,Filled,1,1,@2.3400000000,2.3400000000,DAY,08/18/2026 09:50:28 EDT,08/18/2026 09:50:28 EDT
SPY260818P00766000,SPY260818P00766000,Buy,Filled,1,1,@0.4500000000,0.4500000000,DAY,08/18/2026 09:49:53 EDT,08/18/2026 09:50:39 EDT
INTC260819P00097000,INTC260819P00097000,Buy,Cancelled,0,1,@1.50,,DAY,08/18/2026 09:49:17 EDT,
QQQ260818P00718000,QQQ260818P00718000,Buy,Filled,3,3,1.2000000000,1.2000000000,DAY,08/18/2026 09:48:42 EDT,08/18/2026 09:48:42 EDT
QQQ260818P00718000,QQQ260818P00718000,Buy,Cancelled,0,1,@1.20,,DAY,08/18/2026 09:46:17 EDT,
NVDA260821C00227500,NVDA260821C00227500,Sell,Filled,1,1,@0.7500000000,0.7500000000,GTC,08/18/2026 09:45:46 EDT,08/18/2026 09:46:22 EDT
NVDA260821C00227500,NVDA260821C00227500,Buy,Filled,1,1,@0.8200000000,0.8200000000,DAY,08/18/2026 09:44:13 EDT,08/18/2026 09:44:13 EDT
MSFT260821C00485000,MSFT260821C00485000,Sell,Filled,1,1,@4.0000000000,4.0000000000,GTC,08/18/2026 09:42:49 EDT,08/18/2026 09:46:14 EDT
MSFT260821C00485000,MSFT260821C00485000,Buy,Filled,1,1,@4.5000000000,4.5000000000,DAY,08/18/2026 09:41:02 EDT,08/18/2026 09:42:11 EDT
SPY260818P00769000,SPY260818P00769000,Sell,Filled,1,1,1.6600000000,1.6600000000,DAY,08/18/2026 09:38:04 EDT,08/18/2026 09:38:04 EDT
SPY260818P00769000,SPY260818P00769000,Sell,Cancelled,0,1,@1.30,,GTC,08/18/2026 09:36:49 EDT,
SPY260818P00769000,SPY260818P00769000,Buy,Filled,1,1,1.6300000000,1.6300000000,DAY,08/18/2026 09:36:16 EDT,08/18/2026 09:36:17 EDT
PLTR260821C00172500,PLTR260821C00172500,Buy,Cancelled,0,1,@3.40,,DAY,08/18/2026 09:35:30 EDT,
INTC260828C00115000,INTC260828C00115000,Sell,Filled,2,2,@0.5600000000,0.5600000000,GTC,08/18/2026 09:35:04 EDT,08/18/2026 09:46:17 EDT
INTC260828C00115000,INTC260828C00115000,Buy,Filled,1,1,@0.6800000000,0.6800000000,DAY,08/18/2026 09:33:30 EDT,08/18/2026 09:33:30 EDT
VXX260828C00025000,VXX260828C00025000,Sell,Filled,1,1,0.0600000000,0.0600000000,DAY,08/18/2026 09:33:25 EDT,08/18/2026 09:33:25 EDT
INTC260828C00115000,INTC260828C00115000,Sell,Cancelled,0,1,@0.550,,GTC,08/18/2026 09:33:21 EDT,
VXX260828C00025000,VXX260828C00025000,Sell,Cancelled,0,1,@0.150,,DAY,08/18/2026 09:33:13 EDT,
VXX260828C00025000,VXX260828C00025000,Sell,Cancelled,0,1,@0.150,,DAY,08/18/2026 09:32:52 EDT,
VXX260828C00025000,VXX260828C00025000,Buy,Filled,1,1,@0.1500000000,0.1500000000,DAY,08/18/2026 09:31:51 EDT,08/18/2026 09:31:51 EDT
INTC260828C00115000,INTC260828C00115000,Buy,Filled,1,1,@0.7500000000,0.7500000000,DAY,08/18/2026 09:31:49 EDT,08/18/2026 09:31:54 EDT
SPY260819C00775000,SPY260819C00775000,Sell,Filled,1,1,@0.3000000000,0.3000000000,DAY,08/18/2026 09:30:18 EDT,08/18/2026 09:30:46 EDT
SPY260819C00775000,SPY260819C00775000,Buy,Filled,1,1,@0.2900000000,0.2900000000,DAY,08/18/2026 09:30:15 EDT,08/18/2026 09:30:16 EDT
QQQ260817C00731000,QQQ260817C00731000,Sell,Filled,22,22,0.0800000000,0.0800000000,DAY,08/17/2026 15:27:39 EDT,08/17/2026 15:27:39 EDT
QQQ260817C00731000,QQQ260817C00731000,Buy,Filled,22,22,0.0800000000,0.0800000000,DAY,08/17/2026 15:23:34 EDT,08/17/2026 15:23:34 EDT
QQQ260817P00729000,QQQ260817P00729000,Sell,Filled,26,26,0.0800000000,0.0800000000,DAY,08/17/2026 15:19:02 EDT,08/17/2026 15:19:03 EDT
QQQ260817P00729000,QQQ260817P00729000,Buy,Filled,26,26,0.1115384615,0.1115384615,DAY,08/17/2026 15:11:07 EDT,08/17/2026 15:11:07 EDT
INTC260828C00115000,INTC260828C00115000,Buy,Cancelled,0,1,@1.75,,DAY,08/17/2026 11:59:15 EDT,
QQQ260817P00731000,QQQ260817P00731000,Sell,Filled,13,13,0.2200000000,0.2200000000,DAY,08/17/2026 11:51:31 EDT,08/17/2026 11:51:31 EDT
QQQ260817P00731000,QQQ260817P00731000,Buy,Filled,13,13,0.3100000000,0.3100000000,DAY,08/17/2026 11:50:06 EDT,08/17/2026 11:50:06 EDT
SPXW260817C07780000,SPXW260817C07780000,Sell,Filled,1,1,2.3500000000,2.3500000000,DAY,08/17/2026 11:46:43 EDT,08/17/2026 11:46:43 EDT
SPXW260817C07780000,SPXW260817C07780000,Sell,Cancelled,0,1,@1.90,,GTC,08/17/2026 11:45:16 EDT,
SPXW260817C07780000,SPXW260817C07780000,Buy,Filled,1,1,2.3500000000,2.3500000000,DAY,08/17/2026 11:44:35 EDT,08/17/2026 11:44:36 EDT
QQQ260817C00735000,QQQ260817C00735000,Sell,Filled,17,17,0.2300000000,0.2300000000,DAY,08/17/2026 11:43:25 EDT,08/17/2026 11:43:25 EDT
QQQ260817C00735000,QQQ260817C00735000,Buy,Filled,17,17,0.2600000000,0.2600000000,DAY,08/17/2026 11:42:13 EDT,08/17/2026 11:42:13 EDT
QQQ260817C00735000,QQQ260817C00735000,Sell,Filled,15,15,0.2200000000,0.2200000000,DAY,08/17/2026 11:41:10 EDT,08/17/2026 11:41:10 EDT
QQQ260817C00735000,QQQ260817C00735000,Buy,Filled,15,15,0.2500000000,0.2500000000,DAY,08/17/2026 11:40:21 EDT,08/17/2026 11:40:22 EDT
QQQ260817C00735000,QQQ260817C00735000,Sell,Filled,15,15,0.3100000000,0.3100000000,DAY,08/17/2026 11:38:32 EDT,08/17/2026 11:38:32 EDT
QQQ260817C00735000,QQQ260817C00735000,Buy,Filled,15,15,0.3600000000,0.3600000000,DAY,08/17/2026 11:36:52 EDT,08/17/2026 11:36:52 EDT
QQQ260817P00732000,QQQ260817P00732000,Sell,Filled,15,15,0.3600000000,0.3600000000,DAY,08/17/2026 11:36:35 EDT,08/17/2026 11:36:36 EDT
QQQ260817P00732000,QQQ260817P00732000,Buy,Filled,15,15,0.2800000000,0.2800000000,DAY,08/17/2026 11:29:42 EDT,08/17/2026 11:29:42 EDT
QQQ260817P00734000,QQQ260817P00734000,Sell,Filled,5,5,0.8600000000,0.8600000000,DAY,08/17/2026 11:27:18 EDT,08/17/2026 11:27:18 EDT
QQQ260817P00734000,QQQ260817P00734000,Buy,Filled,5,5,0.8600000000,0.8600000000,DAY,08/17/2026 11:22:06 EDT,08/17/2026 11:22:06 EDT
QQQ260817P00734000,QQQ260817P00734000,Sell,Filled,5,5,0.8000000000,0.8000000000,DAY,08/17/2026 11:20:09 EDT,08/17/2026 11:20:09 EDT
QQQ260817P00734000,QQQ260817P00734000,Buy,Filled,5,5,0.8800000000,0.8800000000,DAY,08/17/2026 11:17:22 EDT,08/17/2026 11:17:22 EDT
SPY260817P00772000,SPY260817P00772000,Sell,Filled,33,33,0.0809090909,0.0809090909,DAY,08/17/2026 11:03:08 EDT,08/17/2026 11:03:08 EDT
SPY260817P00770000,SPY260817P00770000,Sell,Filled,69,69,0.0400000000,0.0400000000,DAY,08/17/2026 11:03:06 EDT,08/17/2026 11:03:06 EDT
SPY260817P00772000,SPY260817P00772000,Buy,Filled,1,1,0.1200000000,0.1200000000,DAY,08/17/2026 10:28:57 EDT,08/17/2026 10:28:57 EDT
SPY260817P00772000,SPY260817P00772000,Buy,Filled,1,1,0.1100000000,0.1100000000,DAY,08/17/2026 10:28:54 EDT,08/17/2026 10:28:54 EDT
SPY260817P00770000,SPY260817P00770000,Buy,Filled,19,19,0.0400000000,0.0400000000,DAY,08/17/2026 10:15:50 EDT,08/17/2026 10:15:51 EDT
SCHW260821C00114000,SCHW260821C00114000,Sell,Filled,1,1,@0.3000000000,0.3000000000,DAY,08/17/2026 10:10:45 EDT,08/17/2026 10:11:02 EDT
SCHW260821C00114000,SCHW260821C00114000,Buy,Filled,1,1,@0.3000000000,0.3000000000,DAY,08/17/2026 10:08:55 EDT,08/17/2026 10:10:02 EDT
SPY260817P00772000,SPY260817P00772000,Buy,Filled,10,10,0.1500000000,0.1500000000,DAY,08/17/2026 10:04:12 EDT,08/17/2026 10:04:12 EDT
SPY260817P00772000,SPY260817P00772000,Buy,Filled,1,1,0.1800000000,0.1800000000,DAY,08/17/2026 10:02:56 EDT,08/17/2026 10:02:56 EDT
SPY260817P00772000,SPY260817P00772000,Buy,Filled,20,20,0.1800000000,0.1800000000,DAY,08/17/2026 10:02:55 EDT,08/17/2026 10:02:56 EDT
SPY260817P00770000,SPY260817P00770000,Buy,Filled,50,50,0.0800000000,0.0800000000,DAY,08/17/2026 10:02:43 EDT,08/17/2026 10:02:43 EDT
AMD260817C00525000,AMD260817C00525000,Sell,Filled,5,5,0.5200000000,0.5200000000,DAY,08/17/2026 09:58:55 EDT,08/17/2026 09:58:55 EDT
AMD260817C00525000,AMD260817C00525000,Buy,Filled,5,5,0.7080000000,0.7080000000,DAY,08/17/2026 09:55:13 EDT,08/17/2026 09:55:13 EDT
SPY260817P00776000,SPY260817P00776000,Sell,Filled,3,3,0.9400000000,0.9400000000,DAY,08/17/2026 09:55:00 EDT,08/17/2026 09:55:01 EDT
AMD260821C00535000,AMD260821C00535000,Sell,Filled,1,1,@5.5000000000,5.5000000000,GTC,08/17/2026 09:52:31 EDT,08/17/2026 09:52:45 EDT
SPY260817P00776000,SPY260817P00776000,Buy,Filled,3,3,1.0200000000,1.0200000000,DAY,08/17/2026 09:52:26 EDT,08/17/2026 09:52:26 EDT
QQQ260817P00731000,QQQ260817P00731000,Sell,Filled,2,2,@0.6450000000,0.6450000000,GTC,08/17/2026 09:51:13 EDT,08/17/2026 09:51:30 EDT
AMD260821C00535000,AMD260821C00535000,Buy,Filled,1,1,@6.2000000000,6.2000000000,DAY,08/17/2026 09:50:58 EDT,08/17/2026 09:51:20 EDT
QQQ260817P00731000,QQQ260817P00731000,Buy,Filled,2,2,0.7300000000,0.7300000000,DAY,08/17/2026 09:50:41 EDT,08/17/2026 09:50:41 EDT
SPY260821P00776000,SPY260821P00776000,Sell,Filled,1,1,@3.5000000000,3.5000000000,DAY,08/17/2026 09:47:06 EDT,08/17/2026 09:47:06 EDT
META260821C00595000,META260821C00595000,Sell,Filled,1,1,4.1400000000,4.1400000000,DAY,08/17/2026 09:34:03 EDT,08/17/2026 09:34:03 EDT
META260821C00595000,META260821C00595000,Sell,Cancelled,0,1,@4.40,,DAY,08/17/2026 09:33:27 EDT,
META260821C00595000,META260821C00595000,Sell,Cancelled,0,1,@3.80,,GTC,08/17/2026 09:33:11 EDT,
SPY260821P00776000,SPY260821P00776000,Sell,Cancelled,0,1,@2.55,,GTC,08/17/2026 09:32:16 EDT,
META260821C00595000,META260821C00595000,Buy,Filled,1,1,@5.2000000000,5.2000000000,DAY,08/17/2026 09:31:38 EDT,08/17/2026 09:31:42 EDT
SPY260821P00776000,SPY260821P00776000,Buy,Filled,1,1,@3.1400000000,3.1400000000,DAY,08/17/2026 09:30:42 EDT,08/17/2026 09:30:42 EDT
QQQ260814P00730000,QQQ260814P00730000,Sell,Filled,5,5,2.0000000000,2.0000000000,DAY,08/14/2026 11:49:39 EDT,08/14/2026 11:49:39 EDT
QQQ260814P00730000,QQQ260814P00730000,Buy,Filled,5,5,1.6100000000,1.6100000000,DAY,08/14/2026 11:46:48 EDT,08/14/2026 11:46:48 EDT
QQQ260814P00729000,QQQ260814P00729000,Sell,Filled,3,3,1.1000000000,1.1000000000,DAY,08/14/2026 11:45:43 EDT,08/14/2026 11:45:43 EDT
QQQ260814P00729000,QQQ260814P00729000,Buy,Filled,3,3,1.2600000000,1.2600000000,DAY,08/14/2026 11:45:20 EDT,08/14/2026 11:45:20 EDT
SPY260817C00775000,SPY260817C00775000,Buy,Cancelled,0,1,@3.10,,DAY,08/14/2026 10:35:23 EDT,
NVDA260819P00225000,NVDA260819P00225000,Sell,Filled,1,1,@3.1000000000,3.1000000000,DAY,08/14/2026 10:22:04 EDT,08/14/2026 10:22:08 EDT
NVDA260819P00225000,NVDA260819P00225000,Sell,Cancelled,0,1,@2.40,,GTC,08/14/2026 10:20:22 EDT,
NVDA260819P00225000,NVDA260819P00225000,Buy,Filled,1,1,@2.9300000000,2.9300000000,DAY,08/14/2026 10:18:50 EDT,08/14/2026 10:18:50 EDT
QQQ260814P00730000,QQQ260814P00730000,Sell,Filled,18,18,0.5300000000,0.5300000000,DAY,08/14/2026 10:17:27 EDT,08/14/2026 10:17:27 EDT
QQQ260814P00730000,QQQ260814P00730000,Buy,Filled,18,18,0.3900000000,0.3900000000,DAY,08/14/2026 10:08:00 EDT,08/14/2026 10:08:00 EDT
QQQ260814P00725000,QQQ260814P00725000,Sell,Filled,4,4,0.0900000000,0.0900000000,DAY,08/14/2026 10:05:37 EDT,08/14/2026 10:05:37 EDT
QQQ260814P00732500,QQQ260814P00732500,Sell,Filled,4,4,1.0000000000,1.0000000000,DAY,08/14/2026 10:04:25 EDT,08/14/2026 10:04:25 EDT
QQQ260814P00725000,QQQ260814P00725000,Buy,Filled,4,4,0.1400000000,0.1400000000,DAY,08/14/2026 09:55:22 EDT,08/14/2026 09:55:22 EDT
